geometry,SOURCE_SITE_SEQ_NO,HICAP_WELL_NO,WI_UNIQUE_WELL_NO,PWS_ID,PROPERTY_SEQ_NO,OWNER_COMPANY,OWNER_NAME,WATER_USE_CODE,APPROVAL_DATE,COMPLETION_DATE,PUMP_CAPACITY_GPM,PUMP_CAPACITY_GPD,MAX_APPROVED_WDRL_GPD,WELL_DEPTH_FT,ENLARGED_DRILLHOLE_DIAM_IN,LOWER_DRILLHOLE_DIAM_IN,CASING_DIAM_IN,SPECIFIC_CAPACITY_GMFT_AMT,CHIEF_AQUIFER_DESC,WATER_USE_SHORT_DESC,SOURCE_STATUS_DESC
Geocortex.Gis.Geometries.Polygon,21143,91459,GG254,,14037,CAMP MANITO-WISH YMCA INC,CAMP MANITO-WISH YMCA INC,PS42,2015-11-30T00:00:00.0000000,1993-05-20T00:00:00.0000000,10,14400,1000,,2,2,2,,,Lodging,EXISTING source
Geocortex.Gis.Geometries.Polygon,21145,91461,IB957,,14037,CAMP MANITO-WISH YMCA INC,CAMP MANITO-WISH YMCA INC,PS42,2015-11-30T00:00:00.0000000,1994-12-21T00:00:00.0000000,15,21600,1000,45,6,6,6,1.2,,Lodging,EXISTING source
Geocortex.Gis.Geometries.Polygon,21148,91464,YN692,,14037,CAMP MANITO-WISH YMCA INC,CAMP MANITO-WISH YMCA INC,PS42,2015-11-18T00:00:00.0000000,2015-12-02T00:00:00.0000000,10,14400,1000,43,6,6,6,1.4,,Lodging,APPROVED well with well report
Geocortex.Gis.Geometries.Polygon,21150,91466,YN693,,14037,CAMP MANITO-WISH YMCA INC,CAMP MANITO-WISH YMCA INC,PS42,2015-11-18T00:00:00.0000000,2015-12-03T00:00:00.0000000,25,36000,1000,48,6,6,6,1.5,,Lodging,APPROVED well with well report
Geocortex.Gis.Geometries.Polygon,8764,69931,RK917,,10402,CAMP RAMAH IN WISCONSIN,CAMP RAMAH IN WISCONSIN,PS41,2008-08-26T00:00:00.0000000,2002-06-24T00:00:00.0000000,30,43200,5000,92,6,6,6,5,,Public/transient,APPROVED well with well report
Geocortex.Gis.Geometries.Polygon,8766,69933,HI191,,10402,CAMP RAMAH IN WISCONSIN,CAMP RAMAH IN WISCONSIN,PS41,2008-08-26T00:00:00.0000000,1996-05-06T00:00:00.0000000,20,28800,2000,86,6,6,6,0,,Public/transient,EXISTING source
Geocortex.Gis.Geometries.Polygon,8493,69629,UN891,,10347,VOYAGER VILLAGE 9TH GREEN TOWNE HOME ASSOCIATION,VOYAGER VILLAGE 9TH GREEN TOWNE HOME ASSOCIATION,IR25,2008-06-02T00:00:00.0000000,2008-06-16T00:00:00.0000000,50,72000,36000,200,6,6,6,13,Sand/Gravel,Sod irrigation,APPROVED well with well report
Geocortex.Gis.Geometries.Polygon,8245,69360,LL296,,10347,VOYAGER VILLAGE 9TH GREEN TOWNE HOME ASSOCIATION,VOYAGER VILLAGE 9TH GREEN TOWNE HOME ASSOCIATION,DS12,2008-06-02T00:00:00.0000000,1997-11-05T00:00:00.0000000,12,17280,,157,6,6,6,0.2,,Privt/multi residences,LOCAP Residential or Fire Well
Geocortex.Gis.Geometries.Polygon,8244,69359,KU802,,10347,VOYAGER VILLAGE 9TH GREEN TOWNE HOME ASSOCIATION,VOYAGER VILLAGE 9TH GREEN TOWNE HOME ASSOCIATION,DS12,2008-06-02T00:00:00.0000000,1996-03-21T00:00:00.0000000,15,21600,,137.67,6,6,6,0.2,,Privt/multi residences,LOCAP Residential or Fire Well
Geocortex.Gis.Geometries.Polygon,8243,69358,KW714,,10347,VOYAGER VILLAGE 9TH GREEN TOWNE HOME ASSOCIATION,VOYAGER VILLAGE 9TH GREEN TOWNE HOME ASSOCIATION,DS12,2008-06-02T00:00:00.0000000,1996-09-19T00:00:00.0000000,15,21600,,85,6,6,6,5,,Privt/multi residences,LOCAP Residential or Fire Well
Geocortex.Gis.Geometries.Polygon,1487,1115,EN434,,7114,VOYAGER VILLAGE PROP OWNERS ASSOC,VOYAGER VILLAGE PROP OWNERS ASSOC,PS41,1993-01-27T00:00:00.0000000,1993-03-12T00:00:00.0000000,50,72000,72000,225,6,6,6,1.7,Sand/Gravel,Public/transient,EXISTING source
Geocortex.Gis.Geometries.Polygon,9705,70983,UY937,,7114,VOYAGER VILLAGE PROP OWNERS ASSOC,VOYAGER VILLAGE PROP OWNERS ASSOC,CO22,2010-03-24T00:00:00.0000000,2010-04-27T00:00:00.0000000,10,14400,3000,,,,,,,Recreation - other,APPROVED well with well report
Geocortex.Gis.Geometries.Polygon,8248,69363,KW743,,10347,VOYAGER VILLAGE 9TH GREEN TOWNE HOME ASSOCIATION,VOYAGER VILLAGE 9TH GREEN TOWNE HOME ASSOCIATION,DS12,2008-06-02T00:00:00.0000000,1997-11-11T00:00:00.0000000,12,17280,,174,6,6,6,0.4,,Privt/multi residences,LOCAP Residential or Fire Well
Geocortex.Gis.Geometries.Polygon,8247,69362,ON205,,10347,VOYAGER VILLAGE 9TH GREEN TOWNE HOME ASSOCIATION,VOYAGER VILLAGE 9TH GREEN TOWNE HOME ASSOCIATION,DS12,2008-06-02T00:00:00.0000000,2000-10-09T00:00:00.0000000,12,17280,,180,6,6,6,3.8,,Privt/multi residences,LOCAP Residential or Fire Well
Geocortex.Gis.Geometries.Polygon,7336,68285,TK019,,7114,VOYAGER VILLAGE PROP OWNERS ASSOC,VOYAGER VILLAGE PROP OWNERS ASSOC,IR31,2006-06-30T00:00:00.0000000,2006-07-14T00:00:00.0000000,500,720000,360000,59,8,8,8,150,Sand/Gravel,Golf course irrigation,APPROVED well with well report
Geocortex.Gis.Geometries.Polygon,8246,69361,NI402,,10347,VOYAGER VILLAGE 9TH GREEN TOWNE HOME ASSOCIATION,VOYAGER VILLAGE 9TH GREEN TOWNE HOME ASSOCIATION,DS12,2008-06-02T00:00:00.0000000,1999-04-29T00:00:00.0000000,12,17280,,201,6,6,6,0.2,,Privt/multi residences,LOCAP Residential or Fire Well
Geocortex.Gis.Geometries.Polygon,213,1231,EJ760,41901552,216,FLORENCE UTILITY COMMISSION,FLORENCE UTILITY COMMISSION,PS11,1992-10-27T00:00:00.0000000,1993-02-20T00:00:00.0000000,500,720000,,140,24,6,18,23.3,Sand/Gravel,Public utility,EXISTING source
Geocortex.Gis.Geometries.Polygon,8105,69204,RH635,,10128,ELLIS INDUSTRIES LLC,ELLIS INDUSTRIES LLC,CO99,2007-01-01T00:00:00.0000000,2002-11-08T00:00:00.0000000,12,17280,,45,6,6,6,0.8,,Commercial - other,EXISTING source
Geocortex.Gis.Geometries.Polygon,7773,68813,UE266,,10115,EAGLE WATERS RESORT CONDO ASSOC,EAGLE WATERS RESORT CONDO ASSOC,PS41,2007-05-10T00:00:00.0000000,2007-05-23T00:00:00.0000000,35,50400,2000,65,6,6,6,3.4,Sand/Gravel,Public/transient,APPROVED well with well report
Geocortex.Gis.Geometries.Polygon,7772,68812,UE284,,10115,EAGLE WATERS RESORT CONDO ASSOC,EAGLE WATERS RESORT CONDO ASSOC,PS41,2007-05-10T00:00:00.0000000,2007-05-24T00:00:00.0000000,35,50400,2000,69,6,6,6,2.7,Sand/Gravel,Public/transient,APPROVED well with well report
Geocortex.Gis.Geometries.Polygon,7768,68808,TH551,,10115,EAGLE WATERS RESORT CONDO ASSOC,EAGLE WATERS RESORT CONDO ASSOC,PS41,2007-05-10T00:00:00.0000000,2006-05-09T00:00:00.0000000,12,17280,600,57,6,6,6,1.7,,Public/transient,APPROVED well with well report
Geocortex.Gis.Geometries.Polygon,7769,68809,TY244,,10115,EAGLE WATERS RESORT CONDO ASSOC,EAGLE WATERS RESORT CONDO ASSOC,PS41,2007-05-10T00:00:00.0000000,2006-11-27T00:00:00.0000000,12,17280,500,60,6,6,6,1.5,,Public/transient,APPROVED well with well report
Geocortex.Gis.Geometries.Polygon,7774,68814,UE285,,10115,EAGLE WATERS RESORT CONDO ASSOC,EAGLE WATERS RESORT CONDO ASSOC,PS41,2007-05-10T00:00:00.0000000,2007-05-22T00:00:00.0000000,40,57600,2000,68,6,6,6,3.5,Sand/Gravel,Public/transient,APPROVED well with well report
Geocortex.Gis.Geometries.Polygon,7771,68811,TC059,,10115,EAGLE WATERS RESORT CONDO ASSOC,EAGLE WATERS RESORT CONDO ASSOC,PS41,2007-05-10T00:00:00.0000000,2005-10-03T00:00:00.0000000,15,21600,500,54,6,6,6,3,,Public/transient,APPROVED well with well report
Geocortex.Gis.Geometries.Polygon,9859,71168,VC276,,8385,"LAPACINSKI, BJ & SONS INC","LAPACINSKI, BJ & SONS INC",IR10,2010-07-07T00:00:00.0000000,2010-07-07T00:00:00.0000000,1200,1728000,1728000,106,16,16,16,12.8,Sand/Gravel,Agricultural irrigation,APPROVED well with well report
Geocortex.Gis.Geometries.Polygon,5597,33519,BD684,,8384,"LAPACINSKI, BJ & SONS INC","LAPACINSKI, BJ & SONS INC",IR10,1987-01-14T00:00:00.0000000,1987-05-06T00:00:00.0000000,800,1152000,1152000,,,,,,,Agricultural irrigation,EXISTING source
Geocortex.Gis.Geometries.Polygon,23005,93083,ZL990,,14743,,"BACH, JASON",PS41,2021-03-26T10:51:13.0000000,2021-04-20T00:00:00.0000000,65,93600,2600,99,6,6,6,0.6,,Public/transient,APPROVED well with well report
Geocortex.Gis.Geometries.Polygon,23006,93084,ZL991,,14743,,"BACH, JASON",PS41,2021-03-26T10:51:13.0000000,2021-04-21T00:00:00.0000000,65,93600,2600,84,6,6,6,1.7,,Public/transient,APPROVED well with well report
Geocortex.Gis.Geometries.Polygon,18237,72078,WU643,,12854,,"LEACH, STEVE",IR24,2012-05-03T00:00:00.0000000,2012-06-13T00:00:00.0000000,1000,1440000,1440000,107,16,16,16,100,Sand/Gravel,Berry irrig not cranb,APPROVED well with well report
Geocortex.Gis.Geometries.Polygon,18236,72077,EF225,,12854,,"LEACH, STEVE",LV20,2012-05-03T00:00:00.0000000,1984-08-07T00:00:00.0000000,12,17280,12300,,,,,,,Non-dairy farming,APPROVED well with well report
Geocortex.Gis.Geometries.Polygon,10086,75802,BQ294,80701390,9042,BURNETT COUNTY GOVERNMENT CENTER,BURNETT COUNTY GOVERNMENT CENTER,PS31,1983-12-15T00:00:00.0000000,1984-12-13T00:00:00.0000000,135,194400,25000,154,12,8,8,,Sand/Gravel,Public/non-transient,APPROVED well with well report
Geocortex.Gis.Geometries.Polygon,24137,94189,AAY614,,8863,WI DNR - NO HIGHLAND-AMERICAN LEGION,WI DNR - NO HIGHLAND-AMERICAN LEGION,PS42,2023-06-07T14:23:00.0000000,2023-06-15T00:00:00.0000000,10,14400,1000,60,9,9,5,0,,Lodging,APPROVED well with well report
Geocortex.Gis.Geometries.Polygon,8725,69885,NJ701,74408906,8863,WI DNR - NO HIGHLAND-AMERICAN LEGION,WI DNR - NO HIGHLAND-AMERICAN LEGION,PS42,2008-08-05T00:00:00.0000000,2000-05-31T00:00:00.0000000,5,7200,400,78,6,6,6,6.7,,Lodging,APPROVED well with well report
Geocortex.Gis.Geometries.Polygon,8727,69887,SF013,,8863,WI DNR - NO HIGHLAND-AMERICAN LEGION,WI DNR - NO HIGHLAND-AMERICAN LEGION,DS11,2008-08-05T00:00:00.0000000,2004-05-06T00:00:00.0000000,5,7200,400,120,6,6,6,15,,Privt/single residence,APPROVED well with well report
Geocortex.Gis.Geometries.Polygon,8724,69884,MR177,,8863,WI DNR - NO HIGHLAND-AMERICAN LEGION,WI DNR - NO HIGHLAND-AMERICAN LEGION,PS42,2008-08-05T00:00:00.0000000,1998-09-30T00:00:00.0000000,5,7200,400,,,,,,,Lodging,APPROVED well with well report
Geocortex.Gis.Geometries.Polygon,2279,2305,MK415,74401151,10482,WI DEPT OF CORRECTIONS,WI DEPT OF CORRECTIONS,PS13,1998-02-26T00:00:00.0000000,1998-07-20T00:00:00.0000000,50,72000,,91,16,16,16,3.3,Sand/Gravel,"Military, correctional",APPROVED well with well report
Geocortex.Gis.Geometries.Polygon,3351,3903,QS478,,7167,BEACONS OF MINOCQUA,BEACONS OF MINOCQUA,PS23,2002-06-05T00:00:00.0000000,2002-07-01T00:00:00.0000000,10,14400,,60,6,6,6,3,Sand/Gravel,OTM - multi-unit housing,EXISTING source
Geocortex.Gis.Geometries.Polygon,1962,1836,HV347,,7167,BEACONS OF MINOCQUA,BEACONS OF MINOCQUA,PS23,1995-08-02T00:00:00.0000000,1995-06-02T00:00:00.0000000,,,72000,71,6,6,6,1.8,Sand/Gravel,OTM - multi-unit housing,EXISTING source
Geocortex.Gis.Geometries.Polygon,1668,1381,FL422,,7167,BEACONS OF MINOCQUA,BEACONS OF MINOCQUA,PS23,1995-07-26T00:00:00.0000000,1993-04-06T00:00:00.0000000,,,72000,53,6,6,6,2.3,,OTM - multi-unit housing,EXISTING source
Geocortex.Gis.Geometries.Polygon,3414,3991,,,7167,BEACONS OF MINOCQUA,BEACONS OF MINOCQUA,PS23,2003-01-23T00:00:00.0000000,2002-07-01T00:00:00.0000000,10,14400,,,,,,,,OTM - multi-unit housing,EXISTING source
Geocortex.Gis.Geometries.Polygon,1667,1380,GS698,,7167,BEACONS OF MINOCQUA,BEACONS OF MINOCQUA,PS23,1995-07-26T00:00:00.0000000,1987-09-28T00:00:00.0000000,,,72000,68,6,6,6,1,Sand/Gravel,OTM - multi-unit housing,EXISTING source
Geocortex.Gis.Geometries.Polygon,1963,1838,NG137,,7167,BEACONS OF MINOCQUA,BEACONS OF MINOCQUA,PS23,1996-05-01T00:00:00.0000000,1999-06-18T00:00:00.0000000,30,43200,43000,90,6,6,6,1,,OTM - multi-unit housing,APPROVED well with well report
Geocortex.Gis.Geometries.Polygon,22241,92357,XV559,,7149,SOWINSKI REAL ESTATE LLC,SOWINSKI REAL ESTATE LLC,IR10,2018-05-08T00:00:00.0000000,2018-06-05T00:00:00.0000000,800,1152000,1152000,1000,12,12,12,,,Agricultural irrigation,APPROVED well with well report
Geocortex.Gis.Geometries.Polygon,4642,21211,BC609,,7149,SOWINSKI REAL ESTATE LLC,SOWINSKI REAL ESTATE LLC,IR10,1986-04-29T00:00:00.0000000,1986-05-28T00:00:00.0000000,800,1152000,1152000,,,,,,,Agricultural irrigation,MAY BE TERMINATED no documentation
Geocortex.Gis.Geometries.Polygon,2616,2756,ME946,,7149,SOWINSKI REAL ESTATE LLC,SOWINSKI REAL ESTATE LLC,IR10,1999-05-17T00:00:00.0000000,1999-05-25T00:00:00.0000000,1000,1440000,1440000,103,30,30,16,15.3,Sand/Gravel,Agricultural irrigation,EXISTING source
Geocortex.Gis.Geometries.Polygon,19812,73728,XI598,,13545,WI DEPT OF VETERANS AFFAIRS,WI DEPT OF VETERANS AFFAIRS,IR99,2014-06-04T00:00:00.0000000,2014-07-22T00:00:00.0000000,100,144000,144000,340,8,8,8,16.7,Sandstone,Irrigation - other,APPROVED well with well report
Geocortex.Gis.Geometries.Polygon,19809,73725,OB648,,13545,WI DEPT OF VETERANS AFFAIRS,WI DEPT OF VETERANS AFFAIRS,CO99,2014-06-04T00:00:00.0000000,2000-08-23T00:00:00.0000000,30,43200,43200,100,6,6,6,1.8,,Commercial - other,APPROVED well with well report
Geocortex.Gis.Geometries.Polygon,19811,73727,OM006,,13545,WI DEPT OF VETERANS AFFAIRS,WI DEPT OF VETERANS AFFAIRS,IR25,2014-06-04T00:00:00.0000000,2000-09-13T00:00:00.0000000,69,100000,100000,98,6,6,6,8.8,,Sod irrigation,APPROVED well with well report
Geocortex.Gis.Geometries.Polygon,11980,86051,BG967,85805335,11178,"RADISSON, VILLAGE OF - UTILITY","RADISSON, VILLAGE OF - UTILITY",PS11,1985-11-10T00:00:00.0000000,1986-06-26T00:00:00.0000000,250,360000,360000,55,18,12,18,15,Sand/Gravel,Public utility,APPROVED well with well report
Geocortex.Gis.Geometries.Polygon,12073,87643,BH203,86603044,11206,"SHELL LAKE, CITY OF - UTILITY","SHELL LAKE, CITY OF - UTILITY",PS11,1934-01-01T00:00:00.0000000,1982-09-17T00:00:00.0000000,500,720000,720000,482.4,12,12,8,5.9,Sandstone,Public utility,EXISTING source
Geocortex.Gis.Geometries.Polygon,12072,87644,BH204,86603044,11206,"SHELL LAKE, CITY OF - UTILITY","SHELL LAKE, CITY OF - UTILITY",PS11,1951-03-05T00:00:00.0000000,1951-01-01T00:00:00.0000000,525,756000,756000,578,20,19,20,17.2,Sandstone,Public utility,EXISTING source
Geocortex.Gis.Geometries.Polygon,5588,33507,BD673,,8377,WEST LAWN ENTERPRISES,WEST LAWN ENTERPRISES,IR10,1977-08-24T00:00:00.0000000,1977-08-10T00:00:00.0000000,1200,1728000,1728000,,,,,,,Agricultural irrigation,EXISTING source
Geocortex.Gis.Geometries.Polygon,11365,82508,BG387,64903377,11038,"FREDERIC, VILLAGE OF - UTILITY","FREDERIC, VILLAGE OF - UTILITY",PS11,1962-12-19T00:00:00.0000000,1964-10-22T00:00:00.0000000,325,468000,468000,298,16,10,16,23.5,Sand/Gravel,Public utility,EXISTING source
Geocortex.Gis.Geometries.Polygon,11364,82509,BG388,64903377,11038,"FREDERIC, VILLAGE OF - UTILITY","FREDERIC, VILLAGE OF - UTILITY",PS11,1971-07-26T00:00:00.0000000,1971-09-01T00:00:00.0000000,400,576000,576000,310,23,19,20,14.8,Sand/Gravel,Public utility,EXISTING source
Geocortex.Gis.Geometries.Polygon,11363,82507,BG386,64903377,11038,"FREDERIC, VILLAGE OF - UTILITY","FREDERIC, VILLAGE OF - UTILITY",PS11,1956-01-01T00:00:00.0000000,1956-01-01T00:00:00.0000000,330,475200,475000,217,20,12,20,2.4,Sand/Gravel,Public utility,EXISTING source
Geocortex.Gis.Geometries.Polygon,19637,73603,LB648,,13486,,"DEN HOED, WALT",LV10,2014-06-04T00:00:00.0000000,1999-10-22T00:00:00.0000000,40,57600,17000,160,6,6,6,3.1,,Dairy farming,APPROVED well with well report
Geocortex.Gis.Geometries.Polygon,19638,73604,AAI237,,13486,,"DEN HOED, WALT",IR10,2014-06-04T00:00:00.0000000,2021-05-26T00:00:00.0000000,600,864000,864000,270,16,15.25,16,0,,Agricultural irrigation,APPROVED well with well report
Geocortex.Gis.Geometries.Polygon,9452,70701,EP805,,7868,FRITO-LAY INC,FRITO-LAY INC,LV20,2009-01-01T00:00:00.0000000,1997-11-25T00:00:00.0000000,6,8640,8640,109,6,6,6,0.1,,Non-dairy farming,EXISTING source
Geocortex.Gis.Geometries.Polygon,12000,83313,BG544,74401261,11184,"RHINELANDER, CITY OF - WATER UTILITY","RHINELANDER, CITY OF - WATER UTILITY",PS11,1987-08-12T00:00:00.0000000,1987-10-05T00:00:00.0000000,1000,1440000,1440000,91,48,28,24,36.8,Sand/Gravel,Public utility,APPROVED well with well report
Geocortex.Gis.Geometries.Polygon,22706,92809,ZJ417,,12376,UNITED PRIDE DAIRY LLC,UNITED PRIDE DAIRY LLC,IN32,2020-01-03T15:07:20.0000000,2020-03-09T00:00:00.0000000,40,57600,57600,80,6,6,6.6,20,,Dairy manufacturing,APPROVED well with well report
Geocortex.Gis.Geometries.Polygon,16695,72069,KA943,,12376,UNITED PRIDE DAIRY LLC,UNITED PRIDE DAIRY LLC,DS11,2012-04-27T00:00:00.0000000,1971-10-25T00:00:00.0000000,15,21600,,58,6,6,6,2.1,,Privt/single residence,LOCAP Residential or Fire Well
Geocortex.Gis.Geometries.Polygon,16697,72071,UT163,,12376,UNITED PRIDE DAIRY LLC,UNITED PRIDE DAIRY LLC,LV10,2012-04-27T00:00:00.0000000,2008-10-27T00:00:00.0000000,25,36000,36000,75,6,6,6,1.2,,Dairy farming,EXISTING source
Geocortex.Gis.Geometries.Polygon,16698,72070,VG926,,12376,UNITED PRIDE DAIRY LLC,UNITED PRIDE DAIRY LLC,LV10,2012-04-27T00:00:00.0000000,2010-09-13T00:00:00.0000000,50,72000,72000,76.5,6,6,6,2.1,,Dairy farming,EXISTING source
Geocortex.Gis.Geometries.Polygon,12001,83304,BG535,74401261,11184,"RHINELANDER, CITY OF - WATER UTILITY","RHINELANDER, CITY OF - WATER UTILITY",PS11,1969-06-12T00:00:00.0000000,1970-01-27T00:00:00.0000000,1700,2448000,2448000,80,72,57,42,117.6,Sand/Gravel,Public utility,APPROVED well with well report
Geocortex.Gis.Geometries.Polygon,12003,83305,BG536,74401261,11184,"RHINELANDER, CITY OF - WATER UTILITY","RHINELANDER, CITY OF - WATER UTILITY",PS11,1977-11-14T00:00:00.0000000,1978-04-19T00:00:00.0000000,1700,2448000,2448000,68,72,48,36,172.4,Sand/Gravel,Public utility,APPROVED well with well report
Geocortex.Gis.Geometries.Polygon,7096,67928,IC222,,9848,PINEWOOD COUNTRY CLUB,PINEWOOD COUNTRY CLUB,IR31,2005-12-02T00:00:00.0000000,1995-05-02T00:00:00.0000000,70,100800,10000,65,6,6,6,1.7,,Golf course irrigation,APPROVED well with well report
Geocortex.Gis.Geometries.Polygon,9797,71102,VF411,,9848,PINEWOOD COUNTRY CLUB,PINEWOOD COUNTRY CLUB,IR31,2010-05-04T00:00:00.0000000,2010-06-01T00:00:00.0000000,250,360000,300000,81,6,6,6,5.1,Sand/Gravel,Golf course irrigation,APPROVED well with well report
Geocortex.Gis.Geometries.Polygon,22298,92409,ZC020,,7868,FRITO-LAY INC,FRITO-LAY INC,IN31,2018-07-23T00:00:00.0000000,2018-07-30T00:00:00.0000000,12,17280,17280,40,6,6,6,2,,Food manufacturing,APPROVED well with well report
Geocortex.Gis.Geometries.Polygon,2057,1959,KZ728,,7868,FRITO-LAY INC,FRITO-LAY INC,IR22,1996-09-09T00:00:00.0000000,1996-06-26T00:00:00.0000000,60,86400,85000,82,8,8,8,1,Sand/Gravel,Orchards/nursery irrig,EXISTING source
