TaxYear,Name,SchoolDist,TotalAssessedValu,AssessedLandValu,AssessedImprovementValu,EstimatedFairMarketValu,NetPropTax,GrossPropTax,PropClass,AuxPropClass,AssessedAcres,DeedAcres,GISAcres,Longitude,Latitude,PropClassDesc
2015,VILLAGE OF BIG FALLS,MARION SD,41900,1800,40100,40500,634.25,841.05,none,none,0,0,0.144542939,-89.01526088,44.61433627,none
2015,VILLAGE OF BIG FALLS,MARION SD,45800,2900,42900,0,706.66,919.33,4,none,0.75,0,1.021569321,-89.01682874,44.61418002,Agriculture
2015,VILLAGE OF BIG FALLS,MARION SD,37100,2500,34600,35900,545.12,744.7,none,none,0,0,0.274725828,-89.014676,44.61435016,none
2015,VILLAGE OF BIG FALLS,MARION SD,800,800,0,800,14.86,16.06,none,none,0,0,0.116818,-89.01420986,44.61443773,none
2015,VILLAGE OF BIG FALLS,MARION SD,500,500,0,500,9.29,10.04,none,none,0,0,0.170348803,-89.0170493,44.61454418,none
2015,VILLAGE OF BIG FALLS,MARION SD,33300,1800,31500,32200,474.58,668.44,none,none,0,0,0.287097844,-89.01652089,44.61446751,none
2015,VILLAGE OF BIG FALLS,MARION SD,25200,1800,23400,24400,324.18,505.85,none,none,0,0,0.179114633,-89.01652941,44.61472581,none
2015,VILLAGE OF BIG FALLS,MARION SD,0,0,0,0,0,0,none,none,0,0,0.184715908,-89.01584309,44.61476283,none
2015,VILLAGE OF BIG FALLS,MARION SD,700,700,0,700,13,14.05,none,none,0,0,0.454210619,-89.01705574,44.61477041,none
2015,VILLAGE OF BIG FALLS,MARION SD,29000,2500,26500,28100,483.51,582.12,none,none,0,0,0.148754538,-89.01584841,44.61493296,none
2015,VILLAGE OF BIG FALLS,MARION SD,38800,2500,36300,37500,665.46,778.82,none,none,0,0,0.331518376,-89.01539685,44.61484032,none
2015,VILLAGE OF BIG FALLS,MARION SD,30200,1800,28400,29200,417,606.19,none,none,0,0,0.284526705,-89.01653595,44.61498095,none
2015,VILLAGE OF BIG FALLS,MARION SD,1800,1800,0,1700,33.43,36.14,none,none,0,0,0.153393374,-89.0158649,44.61509216,none
2015,VILLAGE OF BIG FALLS,MARION SD,0,0,0,0,0,0,none,none,0,0,0.495782898,-89.01745216,44.61510536,none
2015,VILLAGE OF BIG FALLS,MARION SD,39200,1800,37400,37900,672.9,786.86,none,none,0,0.3,0.294946487,-89.01693865,44.61511417,none
2015,VILLAGE OF BIG FALLS,MARION SD,35300,1800,33500,34200,511.71,708.58,none,none,0,0,0.150195697,-89.01654151,44.61521935,none
2015,VILLAGE OF BIG FALLS,MARION SD,24200,2500,21700,23400,305.59,485.75,none,none,0,1,1.377146871,-89.02244908,44.61502086,none
2015,VILLAGE OF BIG FALLS,MARION SD,41700,1800,39900,40300,719.32,837.04,none,none,0,0,0.128623517,-89.0158674,44.61524568,none
2015,VILLAGE OF BIG FALLS,MARION SD,45800,1800,44000,44300,706.66,919.33,none,none,0,0,0.175025956,-89.01552646,44.61516538,none
2015,VILLAGE OF BIG FALLS,MARION SD,45900,2500,43400,44400,797.3,921.34,none,none,0,0,0.145496831,-89.0152907,44.61516765,none
2015,VILLAGE OF BIG FALLS,MARION SD,0,0,0,0,0,0,none,none,0,0,1.345480774,-89.01445894,44.61500495,none
2015,VILLAGE OF BIG FALLS,MARION SD,29200,1800,27400,28300,398.42,586.11,none,none,0,0,0.260860898,-89.01667072,44.61556869,none
2015,VILLAGE OF BIG FALLS,MARION SD,300,300,0,300,5.56,6.01,none,none,0,0,0.064154929,-89.01667295,44.61567933,none
2015,VILLAGE OF BIG FALLS,MARION SD,12400,3000,9400,12000,175.29,248.91,none,none,0,0,0.28632541,-89.01582663,44.61562669,none
2015,VILLAGE OF BIG FALLS,MARION SD,69700,5000,64700,67400,1150.43,1399.07,none,none,0,0,0.613660808,-89.01404794,44.61567061,none
2015,VILLAGE OF BIG FALLS,MARION SD,42000,2000,40000,40600,636.11,843.06,none,none,0,0,0.298315587,-89.01473574,44.61567938,none
2015,VILLAGE OF BIG FALLS,MARION SD,25900,1800,24100,25100,425.94,519.88,none,none,0,0,0.307046428,-89.01786362,44.61567783,none
2015,VILLAGE OF BIG FALLS,MARION SD,0,0,0,0,0,0,none,none,0,0,0.298756385,-89.01755543,44.61568412,none
2015,VILLAGE OF BIG FALLS,MARION SD,22600,1800,20800,21900,364.68,453.65,none,none,0,0,0.384998357,-89.0172072,44.61569303,none
2015,VILLAGE OF BIG FALLS,MARION SD,1800,1800,0,1700,33.43,36.14,none,none,0,0,0.335610042,-89.01667672,44.61581545,none
2015,VILLAGE OF BIG FALLS,MARION SD,300,300,0,300,5.56,6.01,none,none,0,0,0.067712096,-89.01668313,44.61595303,none
2015,VILLAGE OF BIG FALLS,MARION SD,3000,3000,0,2900,55.68,60.2,none,none,0,0,0.283892106,-89.01583789,44.61588537,none
2015,VILLAGE OF BIG FALLS,MARION SD,61700,1800,59900,59700,1001.88,1238.48,none,none,0,0,0.356591304,-89.01542074,44.61576197,none
2015,VILLAGE OF BIG FALLS,MARION SD,7300,1800,5500,7100,80.58,146.53,none,none,0,0,0.356572325,-89.015104,44.61576652,none
2015,VILLAGE OF BIG FALLS,MARION SD,44900,1800,43100,43400,778.73,901.27,none,none,0,0,0.24244226,-89.01668616,44.61605934,none
2015,VILLAGE OF BIG FALLS,MARION SD,50300,1800,48500,48700,790.22,1009.66,none,none,0,0,0.302520488,-89.01787878,44.6161214,none
2015,VILLAGE OF BIG FALLS,MARION SD,16700,1800,14900,16200,255.13,335.22,none,none,0,0,0.286627122,-89.01756858,44.61612718,none
2015,VILLAGE OF BIG FALLS,MARION SD,42900,3700,39200,41500,741.59,861.12,none,none,0,0,2.791027715,-89.02250176,44.61581717,none
2015,VILLAGE OF BIG FALLS,MARION SD,2800,1800,1000,2700,29.09,56.21,none,none,0,0,0.375549219,-89.01721957,44.61613573,none
2015,VILLAGE OF BIG FALLS,MARION SD,52000,5500,46500,50300,910.56,1043.78,none,none,0,0,0.318714078,-89.01669314,44.61625273,none
2015,VILLAGE OF BIG FALLS,MARION SD,39000,1800,37200,37700,669.17,782.83,none,none,0,0,0.099753385,-89.01585767,44.61633101,none
2015,VILLAGE OF BIG FALLS,MARION SD,0,0,0,0,0,0,none,none,0,0,0.52158226,-89.01568145,44.61617215,none
2015,VILLAGE OF BIG FALLS,MARION SD,40100,1800,38300,38800,600.82,804.91,none,none,0,0.28,0.278556972,-89.01513857,44.61620529,none
2015,VILLAGE OF BIG FALLS,MARION SD,41200,1800,39400,39900,621.25,827,none,none,0,0,0.457712262,-89.01476593,44.61611924,none
2015,VILLAGE OF BIG FALLS,MARION SD,13000,1800,11200,12600,186.41,260.94,none,none,0,0,0.482337255,-89.01438258,44.6161047,none
2015,VILLAGE OF BIG FALLS,MARION SD,1800,1800,0,1700,33.43,36.14,none,none,0,0,0.389532683,-89.01403895,44.61610948,none
2015,VILLAGE OF BIG FALLS,MARION SD,1800,1800,0,1700,33.43,36.14,none,none,0,0,0.38932081,-89.01373181,44.61611375,none
2015,VILLAGE OF BIG FALLS,MARION SD,51400,1800,49600,49700,810.64,1031.74,none,none,0,0,0.22313992,-89.01670771,44.61657923,none
2015,VILLAGE OF BIG FALLS,MARION SD,8100,1800,6300,7800,95.44,162.59,none,none,0,0,0.275818737,-89.01587181,44.61663542,none
2015,VILLAGE OF BIG FALLS,MARION SD,3000,1800,1200,2900,31.14,60.2,none,none,0,0,0.212722819,-89.0151908,44.61673484,none
2015,VILLAGE OF BIG FALLS,MARION SD,35000,5500,29500,33900,594.9,702.54,none,none,0,0,0.202557018,-89.01588015,44.61685196,none
2015,VILLAGE OF BIG FALLS,MARION SD,500,500,0,500,9.29,10.04,none,none,0,0,0.188251052,-89.01728499,44.61690149,none
2015,VILLAGE OF BIG FALLS,MARION SD,3000,3000,0,2900,55.68,60.2,none,none,0,0,0.484358973,-89.01671518,44.6168258,none
2015,VILLAGE OF BIG FALLS,MARION SD,15800,1800,14000,15300,238.4,317.14,none,none,0,0,0.519487674,-89.01439795,44.61676318,none
2015,VILLAGE OF BIG FALLS,MARION SD,55100,5000,50100,53300,968.12,1106.01,none,none,0,0,0.107563193,-89.01588317,44.61699234,none
2015,VILLAGE OF BIG FALLS,MARION SD,100,100,0,100,1.87,2.02,none,none,0,0,0.019232255,-89.0157223,44.61718207,none
2015,VILLAGE OF BIG FALLS,MARION SD,29900,2200,27700,28900,411.44,600.18,none,none,0,0,0.350717186,-89.01672041,44.61711593,none
2015,VILLAGE OF BIG FALLS,MARION SD,16500,1800,14700,16000,251.41,331.2,none,none,0,0,0.602052877,-89.01546673,44.61695096,none
2015,VILLAGE OF BIG FALLS,MARION SD,500,500,0,500,9.29,10.04,none,none,0,0,0.389327738,-89.01512737,44.61707829,none
2015,VILLAGE OF BIG FALLS,MARION SD,39700,1200,38500,38400,593.4,796.89,none,none,0,0,0.228124631,-89.01493156,44.61695265,none
2015,VILLAGE OF BIG FALLS,MARION SD,18100,1800,16300,17500,281.12,363.32,none,none,0,0,0.40500582,-89.01476569,44.61696392,none
2015,VILLAGE OF BIG FALLS,MARION SD,500,500,0,500,9.29,10.04,none,none,0,0,0.314982765,-89.01449044,44.61720039,none
2015,VILLAGE OF BIG FALLS,MARION SD,1800,1800,0,1700,33.43,36.14,none,none,0,0,0.503065727,-89.01410617,44.6170412,none
2015,VILLAGE OF BIG FALLS,MARION SD,1800,1800,0,1700,33.43,36.14,none,none,0,0,0.68166811,-89.01378375,44.61697942,none
2015,VILLAGE OF BIG FALLS,MARION SD,43000,2200,40800,41600,743.45,863.13,none,none,0,0,0.257356208,-89.01666646,44.61733575,none
2015,VILLAGE OF BIG FALLS,MARION SD,16000,6000,10000,15500,242.14,321.18,none,none,0,0,0.451139272,-89.01591822,44.6172667,none
2015,VILLAGE OF BIG FALLS,MARION SD,600,600,0,600,11.14,12.04,none,none,0,0,0.182316836,-89.01382355,44.61754516,none
2015,VILLAGE OF BIG FALLS,MARION SD,0,0,0,0,0,0,none,none,0,0,1.325323779,-89.01347857,44.61809103,none
2015,VILLAGE OF BIG FALLS,MARION SD,0,0,0,0,0,0,none,none,0,0,7.787315894,-89.01520186,44.61795262,none
2015,VILLAGE OF BIG FALLS,MARION SD,0,0,0,0,0,0,none,none,0,0,1.801326762,-89.01270097,44.61819402,none
2015,VILLAGE OF BIG FALLS,MARION SD,30500,30500,0,29500,566.33,612.23,6,none,17.96,17.96,16.34911246,-89.02323691,44.617311,Productive Forest
2015,VILLAGE OF BIG FALLS,MARION SD,0,0,0,0,0,0,none,none,0,0,0.025387512,-89.02423337,44.61889524,none
2015,VILLAGE OF BIG FALLS,MARION SD,59100,27900,31200,0,1042.38,1186.29,"4,5,5M,7",none,34,34,37.16247396,-89.01945286,44.61729497,"['Agricultural', 'Undeveloped', 'Agricultural Forest', 'Other']"
2015,VILLAGE OF BIG FALLS,MARION SD,5000,5000,0,4800,92.84,100.37,none,none,0,0,0.945957483,-89.01560734,44.61879588,none
2015,VILLAGE OF BIG FALLS,MARION SD,8700,4000,4700,8400,106.58,174.63,none,none,0,0,1.605612066,-89.01202938,44.61832469,none
2015,VILLAGE OF BIG FALLS,MARION SD,500,500,0,500,9.29,10.04,none,none,0,0,0.420498867,-89.01950743,44.61912867,none
2015,VILLAGE OF BIG FALLS,MARION SD,1900,1000,900,1800,19.73,38.13,none,none,0,0,0.227012364,-89.0183731,44.61915814,none
2015,VILLAGE OF BIG FALLS,MARION SD,4000,1800,2200,3900,41.55,80.3,none,none,0,0,0.227013229,-89.01811971,44.61916232,none
2015,VILLAGE OF BIG FALLS,MARION SD,27200,1800,25400,26300,361.31,545.99,none,none,0,0,0.227016101,-89.01786632,44.6191665,none
2015,VILLAGE OF BIG FALLS,MARION SD,1500,1000,500,1500,15.58,30.11,none,none,0,0,0.22701727,-89.01761293,44.61917068,none
2015,VILLAGE OF BIG FALLS,MARION SD,50500,1800,48700,48900,793.93,1013.67,none,none,0,0,0.227019265,-89.01735955,44.61917486,none
2015,VILLAGE OF BIG FALLS,MARION SD,1000,1000,0,1000,18.55,20.06,none,none,0,0,0.227020696,-89.01710616,44.61917904,none
2015,VILLAGE OF BIG FALLS,MARION SD,110500,15000,95500,106900,1996.77,2218.04,1,none,1.04,1.04,1.097249387,-89.01575369,44.61930018,Residential
2015,VILLAGE OF BIG FALLS,MARION SD,38400,2500,35900,37200,658.05,770.8,none,none,0,0.84,0.858358057,-89.01670116,44.61919574,none
2015,VILLAGE OF BIG FALLS,MARION SD,34100,1800,32300,33000,489.42,684.48,none,none,0,0,0.660159695,-89.02173315,44.61926385,none
2015,VILLAGE OF BIG FALLS,MARION SD,2100,1800,300,2000,21.81,42.15,none,none,0,0,0.415118823,-89.02140039,44.61927864,none
2015,VILLAGE OF BIG FALLS,MARION SD,1800,1800,0,1700,33.43,36.14,none,none,0,0,0.422069567,-89.02114706,44.61928912,none
2015,VILLAGE OF BIG FALLS,MARION SD,1800,1800,0,1700,33.43,36.14,none,none,0,0,0.425611181,-89.02089396,44.6192965,none
2015,VILLAGE OF BIG FALLS,MARION SD,1800,1800,0,1700,33.43,36.14,none,none,0,0,0.297138847,-89.02067901,44.6193007,none
2015,VILLAGE OF BIG FALLS,MARION SD,6200,1800,4400,6000,64.4,124.45,none,none,0,0,0.556623902,-89.0204256,44.61930565,none
2015,VILLAGE OF BIG FALLS,MARION SD,22500,1800,20700,21800,274.04,451.64,none,none,0,0,0.428149485,-89.02013388,44.61931135,none
2015,VILLAGE OF BIG FALLS,MARION SD,2700,2500,200,2600,28.04,54.19,none,none,0,0,0.849437118,-89.01969456,44.61941642,none
2015,VILLAGE OF BIG FALLS,MARION SD,3300,1800,1500,3200,34.27,66.24,none,none,0,0,0.431501098,-89.01913196,44.61933092,none
2015,VILLAGE OF BIG FALLS,MARION SD,1800,1800,0,1700,33.43,36.14,none,none,0,0,0.432346385,-89.0188786,44.61933587,none
2015,VILLAGE OF BIG FALLS,MARION SD,1800,1800,0,1700,33.43,36.14,none,none,0,0,0.433194785,-89.01862524,44.61934082,none
2015,VILLAGE OF BIG FALLS,MARION SD,0,0,0,0,0,0,none,X4,0.29,0.29,0.333066833,-89.01564193,44.61968579,none
2015,VILLAGE OF BIG FALLS,MARION SD,50500,4500,46000,48900,793.93,1013.67,none,none,0,0,0.173290203,-89.01711223,44.61971309,none
2015,VILLAGE OF BIG FALLS,MARION SD,0,0,0,0,0,0,none,none,0,0,1.373085712,-89.01718762,44.61948732,none
2015,VILLAGE OF BIG FALLS,MARION SD,4500,4500,0,4400,83.56,90.33,none,none,0,0,0.206127986,-89.01736675,44.61975076,none
2015,VILLAGE OF BIG FALLS,MARION SD,5200,4500,700,5000,54,104.37,none,none,0,0,0.267482977,-89.01812128,44.61981985,none
2015,VILLAGE OF BIG FALLS,MARION SD,31300,2000,29300,30300,526.2,628.27,none,none,0,0,0.396406879,-89.01774458,44.61971841,none
2015,VILLAGE OF BIG FALLS,MARION SD,1200,1200,0,1200,22.29,24.1,none,none,0,0,0.055239455,-89.02049033,44.61994655,none
2015,VILLAGE OF BIG FALLS,MARION SD,1200,1200,0,1200,22.29,24.1,none,none,0,0,0.056273956,-89.02023195,44.61996592,none
2015,VILLAGE OF BIG FALLS,MARION SD,1200,1200,0,1200,22.29,24.1,none,none,0,0,0.063486395,-89.01997282,44.61999205,none
2015,VILLAGE OF BIG FALLS,MARION SD,0,0,0,0,0,0,none,X4,13,13,12.7912904,-89.01376121,44.6220598,none
2015,VILLAGE OF BIG FALLS,MARION SD,4200,3500,700,4100,43.62,84.3,none,none,0,0,1.357291304,-89.01370144,44.62057387,none
2015,VILLAGE OF BIG FALLS,MARION SD,0,0,0,0,0,0,none,none,0,0,0.049434965,-89.01850666,44.62008687,none
2015,VILLAGE OF BIG FALLS,MARION SD,4300,4300,0,4200,79.85,86.32,none,none,0,0,0.101277444,-89.02076217,44.61997655,none
2015,VILLAGE OF BIG FALLS,MARION SD,0,0,0,0,0,0,none,none,0,0,0.032549154,-89.01831497,44.62010819,none
2015,VILLAGE OF BIG FALLS,MARION SD,5000,4000,1000,4800,51.93,100.37,none,none,0,0,0.104261521,-89.01776655,44.62011803,none
2015,VILLAGE OF BIG FALLS,MARION SD,4300,4300,0,4200,79.85,86.32,none,none,0,0,0.08081649,-89.01877801,44.62009908,none
2015,VILLAGE OF BIG FALLS,MARION SD,4300,4300,0,4200,79.85,86.32,none,none,0,0,0.199180169,-89.0210016,44.62004229,none
2015,VILLAGE OF BIG FALLS,MARION SD,9900,4500,5400,9600,128.86,198.72,none,none,0,0,0.144696463,-89.01902088,44.6201364,none
2015,VILLAGE OF BIG FALLS,MARION SD,4300,4300,0,4200,79.85,86.32,none,none,0,0,0.247946024,-89.02125006,44.62006743,none
2015,VILLAGE OF BIG FALLS,MARION SD,4300,4300,0,4200,79.85,86.32,none,none,0,0,0.154259035,-89.01971091,44.62010021,none
2015,VILLAGE OF BIG FALLS,MARION SD,51200,5500,45700,49500,895.72,1027.74,none,none,0,0,0.331855962,-89.01937603,44.62014361,none
2015,VILLAGE OF BIG FALLS,MARION SD,5000,5000,0,4800,92.84,100.37,none,none,0,0,0.598692222,-89.02166052,44.6200687,none
2015,VILLAGE OF BIG FALLS,MARION SD,0,0,0,0,11.33,0,none,W8,6.06,6.06,5.564573598,-89.01215232,44.62085896,none
2015,VILLAGE OF BIG FALLS,MARION SD,167400,6200,161200,162000,2964.51,3360.19,none,none,0,0,0.81046409,-89.01572411,44.62135156,none
2015,VILLAGE OF BIG FALLS,MARION SD,25000,25000,0,24200,464.19,501.82,none,none,0,0,2.9531521,-89.01996213,44.62113861,none
2015,VILLAGE OF BIG FALLS,MARION SD,5000,5000,0,4800,92.84,100.37,none,none,0,0,0.453345982,-89.01636529,44.62140153,none
2015,VILLAGE OF BIG FALLS,MARION SD,5500,5500,0,5300,102.12,110.4,none,none,0,0,0.671642224,-89.01447503,44.62135948,none
2015,VILLAGE OF BIG FALLS,MARION SD,25000,25000,0,24200,464.19,501.82,none,none,0,0,3.137377488,-89.01856176,44.62108626,none
2015,VILLAGE OF BIG FALLS,MARION SD,34300,23000,11300,33200,581.92,688.5,1,none,1.8,1.8,1.830903811,-89.01725031,44.62150082,Residential
2015,VILLAGE OF BIG FALLS,MARION SD,23200,23000,200,22400,375.8,465.68,none,none,0,0,1.577640949,-89.02136256,44.62146488,none
2015,VILLAGE OF BIG FALLS,MARION SD,5500,5500,0,5300,102.12,110.4,none,none,0,0,0.930667094,-89.01503266,44.62151353,none
2015,VILLAGE OF BIG FALLS,MARION SD,0,0,0,0,0,0,none,none,0,0,0.557264951,-89.00955882,44.62217075,none
2015,VILLAGE OF BIG FALLS,MARION SD,3700,3700,0,3600,68.7,74.27,none,none,0,0,1.360098425,-89.02124322,44.62227394,none
2015,VILLAGE OF BIG FALLS,MARION SD,3700,3700,0,3600,68.7,74.27,none,none,0,0,1.765884178,-89.0202511,44.62219261,none
2015,VILLAGE OF BIG FALLS,MARION SD,3700,3700,0,3600,68.7,74.27,none,none,0,0,1.539115882,-89.01934691,44.62219024,none
2015,VILLAGE OF BIG FALLS,MARION SD,3700,3700,0,3600,68.7,74.27,none,none,0,1.5,1.246381965,-89.01851674,44.6222632,none
2015,VILLAGE OF BIG FALLS,MARION SD,3700,3700,0,3600,68.7,74.27,none,none,0,0,1.425212369,-89.01759762,44.62231441,none
2015,VILLAGE OF BIG FALLS,MARION SD,4300,4300,0,4200,79.85,86.32,none,none,0,0,1.859537875,-89.01634621,44.62212292,none
2015,VILLAGE OF BIG FALLS,MARION SD,0,0,0,0,0,0,none,none,0,0,5.224672882,-89.01739652,44.62189955,none
2015,VILLAGE OF BIG FALLS,MARION SD,0,0,0,0,0,0,none,none,0,0,0.646684434,-89.00893715,44.62242848,none
2015,VILLAGE OF BIG FALLS,MARION SD,18700,18700,0,18100,397.72,375.37,6,W8,38,38,37.72288042,-89.00913958,44.62079775,Productive Forest
2015,VILLAGE OF BIG FALLS,MARION SD,0,0,0,0,0,0,none,none,0,0,6.915421032,-89.01208543,44.62111384,none
2015,VILLAGE OF EMBARRASS,CLINTONVILLE SD,500,500,0,0,9.9,10.9,none,none,0,0,0.071712548,-88.71749959,44.6562651,none
2015,VILLAGE OF EMBARRASS,CLINTONVILLE SD,77800,6000,71800,75200,1357.03,1696.8,1,none,0.42,0.42,0.439719283,-88.69676685,44.66007391,Residential
2015,VILLAGE OF EMBARRASS,CLINTONVILLE SD,71500,6000,65500,69100,1232.23,1559.41,1,none,0.65,0.65,0.641457626,-88.6944276,44.66015084,Residential
2015,VILLAGE OF EMBARRASS,CLINTONVILLE SD,0,0,0,0,0,0,none,none,0,0,0.828317391,-88.69661234,44.65980581,none
2015,VILLAGE OF EMBARRASS,CLINTONVILLE SD,38000,8000,30000,36700,682.37,828.77,2,none,3,3,3.147635778,-88.69575958,44.66022961,Commercial
2015,VILLAGE OF EMBARRASS,CLINTONVILLE SD,63500,5500,58000,61400,1073.7,1384.9,1,none,0.76,0.76,0.943484821,-88.69715215,44.66091631,Residential
2015,VILLAGE OF EMBARRASS,CLINTONVILLE SD,166600,9000,157600,161000,3116.33,3633.48,1,none,2.66,2.66,2.66993371,-88.71608502,44.66107185,Residential
2015,VILLAGE OF EMBARRASS,CLINTONVILLE SD,4000,4000,0,0,79.25,87.24,"5,6",none,1.69,1.69,1.698178691,-88.71549285,44.66163776,"['Undeveloped', 'Productive Forest']"
2015,VILLAGE OF EMBARRASS,CLINTONVILLE SD,6300,6000,300,6100,58.8,137.41,1,none,0.98,0.98,0.951338618,-88.72040721,44.66199232,Residential
2015,VILLAGE OF EMBARRASS,CLINTONVILLE SD,15500,15000,500,15000,236.59,338.04,1,none,1.42,1.42,1.394313649,-88.71964556,44.66215513,Residential
2015,VILLAGE OF EMBARRASS,CLINTONVILLE SD,4300,4300,0,0,85.18,93.77,"5,6",none,1.69,1.69,1.696533748,-88.71503482,44.66207797,"['Undeveloped', 'Productive Forest']"
2015,VILLAGE OF EMBARRASS,CLINTONVILLE SD,169800,13000,156800,164100,3179.74,3703.28,1,none,1.69,1.69,0.678638888,-88.72044344,44.66263578,Residential
2015,VILLAGE OF EMBARRASS,CLINTONVILLE SD,92800,7000,85800,89700,1654.2,2023.93,1,none,0.43,0.43,0.432680308,-88.69930356,44.6628175,Residential
2015,VILLAGE OF EMBARRASS,CLINTONVILLE SD,161500,10000,151500,156100,3015.32,3522.28,none,none,0,0,1.027345591,-88.71975958,44.66278775,none
2015,VILLAGE OF EMBARRASS,CLINTONVILLE SD,4400,4400,0,0,87.17,95.96,"5,6",none,2.82,2.82,2.792861897,-88.71442577,44.66266009,"['Undeveloped', 'Productive Forest']"
2015,VILLAGE OF EMBARRASS,CLINTONVILLE SD,68600,4000,64600,66300,1288.61,1496.13,none,none,0,0,0.364658386,-88.69947818,44.66309827,none
2015,VILLAGE OF EMBARRASS,CLINTONVILLE SD,15000,15000,0,14500,297.18,327.14,1,none,1.99,1.99,1.965737158,-88.71893439,44.66264944,Residential
2015,VILLAGE OF EMBARRASS,CLINTONVILLE SD,0,0,0,0,0,0,none,none,0,0,1.011707356,-88.71852251,44.66247659,none
2015,VILLAGE OF EMBARRASS,CLINTONVILLE SD,7000,7000,0,0,138.68,152.66,"4,5",none,15.5,15.5,15.11367265,-88.69587069,44.66199905,"['Agricultural', 'Undeveloped']"
2015,VILLAGE OF EMBARRASS,CLINTONVILLE SD,4800,4800,0,0,95.11,104.7,5,none,6.36,6.36,7.431673919,-88.69802673,44.6624587,Undeveloped
2015,VILLAGE OF EMBARRASS,CLINTONVILLE SD,76800,4500,72300,74200,1337.21,1674.98,1,none,0.35,0.35,0.423911541,-88.69967658,44.66330271,Residential
