FID,SITE_SEQ_N,SOURCE_SIT,HICAP_WELL,WI_UNIQUE_,PROPERTY_S,SOURCE_TYP,WATER_USE_,WATER_USE1,GLC_WATER_,SOURCE_STA,APPROVAL_D,COMPLETION,MAX_HYDR_C,MAX_DAILY_,ACTIVE_SOU,OPEN_INT_T,OPEN_INT_B,WELL_DEPTH,SCREENED,ELEV_M
112,12940,5933,36573,BE065,6894,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1982/08/20 00:00:00+00,1976/05/18 00:00:00+00,864000,864000,Y,0,0,0, ,356.3538765
113,12974,9176,70422,UY099,7065,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,2009/07/28 00:00:00+00,2009/09/23 00:00:00+00,1440000,1440000,Y,234,228,44,Y,272.3570873
114,12425,7155,68014,TB452,9560,Groundwater,IR23,Cranberry irrigation,Irrigation,EXISTING source,2006/02/17 00:00:00+00,2006/03/30 00:00:00+00,1728000,1728000,Y,296,290,29,Y,318.5860981
115,12733,9760,71063,VC266,10635,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,2010/04/16 00:00:00+00,2010/05/06 00:00:00+00,1440000,1440000,Y,312,303,47,Y,349.7793196
116,12925,9379,70628, ,6872,Groundwater,DS11,Privt/single residence,Commercial,LOCAP Residential or Fire Well,2009/01/01 00:00:00+00,,28800,0,N,0,0,0, ,296.9285363
117,12914,4758,23695,BC753,6866,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1981/12/01 00:00:00+00,,1440000,1440000,Y,0,0,0, ,332.3935529
118,12698,1832,1586,FR744,10498,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1995/05/02 00:00:00+00,1995/05/16 00:00:00+00,1440000,1440000,Y,313,304,25,Y,329.3516549
119,12881,5815,36430,BD928,6645,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1963/01/04 00:00:00+00,1963/12/07 00:00:00+00,0,1440000,Y,0,0,0, ,335.9383784
120,12936,1209,629,EO717,6881,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1991/04/15 00:00:00+00,1991/10/25 00:00:00+00,1440000,1440000,Y,244,232,35,Y,266.4360347
121,13003,1672,1387, ,7169,Groundwater,OT14,Flowing well discharge,Other,EXISTING source,1998/05/14 00:00:00+00,,21600,15000,Y,0,0,0, ,252.9730072
122,13018,5734,36339, ,7236,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1965/03/10 00:00:00+00,1965/06/10 00:00:00+00,0,1726000,Y,0,0,0, ,343.3876726
123,13109,2513,2648, ,7557,Groundwater,AQ10,Aquaculture,Livestock,EXISTING source,1998/09/22 00:00:00+00,,93600,93600,Y,0,0,0, ,230.7783973
124,13119,845,176, ,7577,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1977/01/25 00:00:00+00,1977/01/25 00:00:00+00,1152000,1152000,Y,0,0,0, ,303.3524977
125,13124,5826,36444,BD941,7612,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,1971/04/12 00:00:00+00,1971/05/08 00:00:00+00,1440000,1440000,Y,0,0,0, ,326.4133784
126,13136,5831,36449,BD946,7658,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,1977/03/11 00:00:00+00,1977/04/15 00:00:00+00,720000,720000,Y,0,0,0, ,335.1854941
127,13172,5688,35345,BD782,7853,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1977/09/13 00:00:00+00,1977/10/01 00:00:00+00,1440000,1440000,Y,0,0,0, ,274.276412
128,13217,4532,18913,BC502,8136,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1977/05/24 00:00:00+00,1977/05/31 00:00:00+00,1440000,1440000,Y,0,0,0, ,262.0350037
129,13524,9499,70754, ,9149,Groundwater,IN99,Industrial - other,Industrial,EXISTING source,1978/11/02 00:00:00+00,1979/05/31 00:00:00+00,7200,200,Y,0,0,0, ,263.71661
130,13652,3444,4125,SZ025,9620,Groundwater,PS23,OTM - multi-unit housing,Commercial,LOCAP Residential or Fire Well,2003/05/15 00:00:00+00,2005/07/12 00:00:00+00,86400,4000,N,244,228,32,N,260.4159371
131,13745,7280,68219,HP715,9900,Groundwater,PS41,Public/transient,Commercial,APPROVED well with well report,2006/06/06 00:00:00+00,1997/12/10 00:00:00+00,28800,10000,Y,304,303,45,Y,348.8374981
