OBJECTID,ASSESSMENT_UNIT_SEQ_NO,OFFICIAL_NAME,LOCAL_NAME,WATER_TYPE,START_MILE_NO,END_MILE_NO,WATER_TYPE_SIZE_AMT,MEASUREMENT_UNIT,TROUT_CLASS_CODE,WBIC,ORW_ERW,IMPAIRED_WATER_LISTED_FLAG,FED_WILD_SCENIC_FLAG,CLASSIFICATION,CLASSIFICATION_STATUS,DECISION_DATE,INFO_SOURCES,DOCUMENT_URL,ASSESSMENT_UNIT_COMMENT,SHAPELEN
56,10371,Bradley Creek,Bradley Creek,RIVER,0,6.16,6.16,MILES,CLASS I,288700,ERW,N,,Cold  (Class I Trout),Official,,"Fish Community Survey Data, Fish IBI Analysis Package, Macroinvertebrate IBI Package, Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,"This AU: entire stream.


Trout�ID:�	93
Class�Code:�	1
OEW ID:  946 
OEW Name:  Bradley Creek 
",9909.06574913818
58,10383,South Branch Little Wolf River,S. Branch Little Wolf ,RIVER,18.09,32.24,14.15,MILES,CLASS II,272600,,N,,Cold  (Class II Trout),Official,,"Macroinvertebrate IBI Package, Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,"This AU:  NE 1/4 S5 T22N R12E to Iola Lake dam.

Class II trout stream per 1980 trout book  8-26-09 M. Binder",22781.4739718123
60,10386,North Branch of South Branch Little Wolf River,Little Wolf-N. Branch Of S. Branch,RIVER,7.45,16.66,9.21,MILES,CLASS II,273000,,N,,Cold  (Class II Trout),Official,,"Fish Community Survey Data, Macroinvertebrate IBI Package, Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,"This AU: From headwaters to town Rd Rail bisecting S14 and 23, T 23N, R12E. ",14815.1475049657
61,10395,Peterson Creek,Peterson Creek,RIVER,0,8.18,8.18,MILES,CLASS I,275400,ORW,Y,,Cold  (Class I Trout),Official,,"Fish Community Survey Data, Macroinvertebrate IBI Package, Temperature Assessment Package, Trout Book: 2002 Spatial Data, SWIMS Data and Professional Decision, Trout Book: 1980 Blue Book",NA,"This AU: mouth to Waupaca/Portage county line.

Trout ID:  76 
Class Code:  1 
OEW ID:  846 
OEW Name:  Peterson Creek 
",13158.7499841149
63,10401,Nace Creek,Trout (Nace) Creek,RIVER,0,8.12,8.12,MILES,CLASS I,278200,ORW,N,,Cold  (Class I Trout),Official,,"Fish IBI Analysis Package, Macroinvertebrate IBI Package, Temperature Assessment Package, Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,,13067.0781490886
70,10479,Genesee Creek,Genesee Creek,RIVER,3.51,6.22,2.71,MILES,CLASS I,769800,ERW,N,,Cold  (Class I Trout),Official,,"Fish Community Survey Data, Fish IBI Analysis Package, Macroinvertebrate IBI Package, Temperature Assessment Package, Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,This AU:  Highway 59 to headwaters.,4364.1406297378
73,10558,East Branch Lily River,Lily River-E. Branch,RIVER,0,8.25,8.25,MILES,CLASS II,371300,,N,,Cold  (Class II Trout),Official,,Trout Book: 2002 Spatial Data,NA,"AU: entire stream
On old topo maps, the headwaters of the East Branch Lily River was WBIC 373300 and the stream above this confluence was an extension of Windfall Creek.  Both the East Branch and Windfall Creek are class 2 trout in the 1980 trout books.",13282.4963857436
75,10580,Unnamed,Hansen Creek (Creek 19-6 T33n-R13e-S19),RIVER,0,1.21,1.21,MILES,CLASS I,380000,ERW,N,,Cold  (Class II Trout),Official,,"Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,1980 trout book has two separate listings for this stream - Hansen Creek (class 1) and Creek 19-6 (class 2).,1940.96743095637
76,10588,Markgraf Creek,Markgraf Creek,RIVER,0,0.69,0.69,MILES,CLASS I,383000,ERW,N,,Cold  (Class I Trout),Official,,"Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,This AU: entire stream,1109.46909409637
77,10590,Unnamed,"Creek 3-6 (T33n, R11e)",RIVER,0,0.04,0.04,MILES,CLASS I,384600,ERW,N,,Cold  (Class I Trout),Official,,"Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,This AU: entire stream,68.9459698122458
78,10600,Unnamed,Un Creek (T34n-R10e-S14),RIVER,0,0.7,0.7,MILES,CLASS I,387000,ERW,N,,Cold  (Class I Trout),Official,,NA,NA,,977.890664249633
81,9678,Mill Creek,Mill Creek,RIVER,11.67,22.57,10.9,MILES,CLASS I,299700,ERW,N,,Cold  (Class I Trout),Official,,"Macroinvertebrate IBI Package, Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,This AU: Above Winkle Rd.,17545.4340730727
83,9690,Unnamed,"Creek 23-12 (T27n, R13e)",RIVER,0,0.71,0.71,MILES,CLASS I,301900,ERW,N,,Cold  (Class I Trout),Official,,"Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,"This AU: entire stream.
ERW line is shorter than trout and hydro lines. Trout and hydro are 0.71 mi length on the map. According to the trout books, the length of this stream is 1.7 mi.",1150.60350237167
84,9693,Pony Creek,Pony Creek,RIVER,0,8.49,8.49,MILES,CLASS I,302400,ERW,N,,Cold  (Class I Trout),Official,,"Fish IBI Analysis Package, Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,"This AU: entire stream.
ERW line is shorter than hydro.",13670.3440503994
85,9700,Unnamed,"Creek 36-15 (T28n, R12e)",RIVER,0,1.27,1.27,MILES,CLASS II,303400,,N,,Cold  (Class II Trout),Official,,"Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,"This AU: entire stream. 
According to the trout books this stream is Class 2. It was showing as class 1 on the map, so I changed it to Class 2 trout stream.",2039.09013799895
86,9703,Unnamed,Un Creek 15-10 (T28n-R12e-S15),RIVER,0,1.15,1.15,MILES,CLASS I,304100,ERW,N,,Cold  (Class I Trout),Official,,Trout Book: 1980 Blue Book,NA,"This AU: entire stream.
Creek 15-10 T28N R12E 
",1852.26638528203
87,9715,Hydes Creek,Hydes Creek,RIVER,0,1.49,1.49,MILES,CLASS I,294000,ERW,N,,Cold  (Class I Trout),Official,,"Macroinvertebrate IBI Package, Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,This AU: Mouth to Waupaca/Shawano county line.,2401.54065962076
89,9735,Unnamed,"Creek 13-2 (T26n, R12e)",RIVER,0,1.67,1.67,MILES,CLASS I,306000,ERW,N,,Cold  (Class I Trout),Official,,"Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,This AU: entire stream,2680.33011964941
90,9740,Tiger Creek,Tiger Creek,RIVER,6.21,12.1,5.89,MILES,CLASS I,306700,,N,,Cold  (Class I Trout),Official,,Trout Book: 2002 Spatial Data,NA,"This AU: Above State Highway 153.
According to 1980 Trout Book this part of the stream is non-trout. 2002 Trout Book defines all Tiger Creek as trout stream.",9466.99137474903
91,9741,Unnamed,"Creek 6-14 (T26n, R12e)",RIVER,0,0.69,0.69,MILES,CLASS I,306900,ERW,N,,Cold  (Class I Trout),Official,,"Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,This AU: entire stream,1108.0951942548
92,9751,Falstad Creek,Un Creek (T27n-R10e-S02),RIVER,0,0.36,0.36,MILES,CLASS II,308900,ORW,N,,Cold  (Class II Trout),Official,,NA,NA,"OEW Name:  Creek 2-3 T27N R10E 
In 1980 trout book and OERW data, Falstad Creek was the extension of Spranger Creek from WBIC 308900 to its headwaters, and WBIC 308900 was Creek 2-3.  In the 2002 trout data, WBIC 308900 is Falstad Creek and Creek 2-3 is a trib to WBIC 308900.",573.92007957177
93,9753,Unnamed,"Creek 17-6  (T27n, R11e)",RIVER,0,0.98,0.98,MILES,CLASS I,309300,ERW,N,,Cold  (Class I Trout),Official,,"Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,"This AU: entire stream.
Trout layer is missing.
The 2002 trout book had this stream incorrectly in T26N R11E instead of T27N, R11E.
",1584.94742784311
94,9763,Unnamed,Creek 31-11 (T27n R13e),RIVER,0,1.52,1.52,MILES,CLASS I,311100,ERW,N,,Cold  (Class I Trout),Official,,"Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,This AU: entire stream,2450.80983046952
95,9766,Dent Creek,Dent Creek,RIVER,0,7.44,7.44,MILES,CLASS I,311400,ERW,N,,Cold  (Class I Trout),Official,,"Macroinvertebrate IBI Package, Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,"This AU: entire stream.
Trout ID: 157 for Dent Creek is in error, as it is located in T29N, R12E, but the stream is located in T27N, R12E.",11966.0670136351
96,9775,Packard Creek,Packard Creek,RIVER,0,12.56,12.56,MILES,CLASS I,312800,ERW,N,,Cold  (Class I Trout),Official,,"Fish Community Survey Data, Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,"This AU:From mouth to Shawano/Marathon county line.
",20205.8188231007
97,9777,Unnamed,"Creek 30-15 (T29n, R11e)",RIVER,0,0.5,0.5,MILES,CLASS I,312950,ERW,N,,Cold  (Class I Trout),Official,,"Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,"This AU: Lower ½ mi.
1980 TB defines only lower ½ mi as trout. 2002 TB lists the entire stream as trout, but gives the same mileage  0.5 mi. This needs to be checked, as the entire stream is 2.86 mi long. Made two AU, as only lower ½ mi of the stream is ERW.",804.670144939101
98,9779,Lex Creek,Lex Creek,RIVER,0,1.1,1.1,MILES,CLASS I,313500,ERW,N,,Cold  (Class I Trout),Official,,"Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,This AU: entire stream,1767.35083054997
99,9780,Elmhurst Creek,Elmhurst Creek,RIVER,0,7.13,7.13,MILES,CLASS I,313600,ERW,N,,Cold  (Class I Trout),Official,,"Fish IBI Analysis Package, Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,Tnis AU: From Langlade/Shawano county line to mouth (Shawano county),11466.9162527548
107,9808,West Branch Shioc River,Shioc River-W. Branch,RIVER,11.51,15.06,3.55,MILES,CLASS I,318900,ERW,N,,Cold  (Class I Trout),Official,,"Fish IBI Analysis Package, Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,"This AU: Upstream from Porter Rd.
The Class 1 segment (Above Porter Rd) is 3.55 mi on the map, but it is 0.5 mi long in trout books.
 ERW line covers only part of the Class 1 trout segment and should be extended up to headwaters.
",5710.04014134662
109,9821,Unnamed,"Creek 2-3 (T26n, R15e)",RIVER,0,1.53,1.53,MILES,CLASS I,322300,ERW,N,,Cold  (Class I Trout),Official,,"Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,This AU: entire stream,2458.77676922649
124,9949,West Twin River,West Twin River,RIVER,15.41,15.76,0.35,MILES,CLASS II,87000,,Y,,Cold  (Class II Trout),Official,,"Fish IBI Analysis Package, Macroinvertebrate IBI Package, Watershed Tables Basin Plans, State Admin. Code NR 102, Trout Book: 2002 Spatial Data, Temperature Assessment Package, Total Phosphorus Packag",NA,This AU:  Melnik Road to Kriwanek Creek.,571.938627055624
131,13698,Dougherty Creek,Dougherty Creek,RIVER,0,13.98,13.98,MILES,CLASS II,901000,,Y,,Cold  (Class II Trout),Official,,"Fish Community Survey Data, Macroinvertebrate IBI Package, Trout Book: 2002 Spatial Data, Total Phosphorus Package - Streams",NA,This AU:  Mouth to the intersection of Postville and Dougherty Creek Rds.,22492.0634812954
139,10872,Splinter Creek,Splinter Creek,RIVER,0,1.21,1.21,MILES,CLASS I,448300,ERW,N,,Cold  (Class I Trout),Official,,"Macroinvertebrate IBI Package, Trout Book: 2002 Spatial Data, Total Phosphorus Package - Streams",NA,This AU: From Machinakee Flowage to just south of Younger Rd,1950.70534489979
146,10894,North Branch Oconto River,North Branch Oconto River,RIVER,0,18.15,18.15,MILES,CLASS III,457800,,N,,Class III Trout,Official,,"Fish IBI Analysis Package, Trout Book: 2002 Spatial Data, Temperature Assessment Package, SWIMS Data and Professional Decision",NA,This AU: From Main Branch Oconto River to Chute Pond ,29216.191368168
147,10896,North Branch Oconto River,North Branch Oconto River,RIVER,26.39,50.6,24.21,MILES,CLASS I,457800,ERW,N,,Cold  (Class I Trout),Official,,"Fish IBI Analysis Package, Macroinvertebrate IBI Package, Trout Book: 2002 Spatial Data, Total Phosphorus Package - Streams",NA,"This AU:  From State HWY 32 to Forest Co. Line
",38961.8016018783
148,10897,Weso Creek,Weso Creek,RIVER,6.23,6.63,0.4,MILES,CLASS I,458500,,N,,Cold  (Class I Trout),Official,,"Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,"This AU: From the Oconto-Menominee County line to the North Branch Weso Creek.

ERW per NR102 - Class I trout stream.",646.633070362871
149,10904,Green Lake Outlet,Green Lake Outlet (Creek 24-1),RIVER,0,1,1,MILES,CLASS I,459800,ERW,N,,Cold  (Class I Trout),Official,,"Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,This AU: Entire Creek,885.437719151834
150,10905,Little Waupee Creek,Little Waupee Creek,RIVER,0,5.83,5.83,MILES,CLASS I,460100,ERW,N,,Cold  (Class I Trout),Official,,"Macroinvertebrate IBI Package, Trout Book: 2002 Spatial Data",NA,This AU: Entire Creek,9378.69840226155
151,10911,McCaslin Brook,Mccaslin Brook,RIVER,6.15,14,7.85,MILES,CLASS I,463600,ERW,N,,Cold  (Class I Trout),Official,,"Fish Community Survey Data, Fish IBI Analysis Package, Trout Book: 2002 Spatial Data",NA,This AU: From County HWY F to Townsend Flowage,12631.6780971831
152,10913,Wapato Creek,Creek 33-11,RIVER,0,0.4,0.4,MILES,CLASS I,465700,ERW,N,,Cold  (Class I Trout),Official,,Trout Book: 2002 Spatial Data,NA,"Creek 33-11 T33N R15E
This AU: Mouth to small pond above Sawyer Lake Rd.
OERW maps show the reach below the pond at Sawyer Lake Rd. as ERW.  Per Cliff Sebero, the reach above this pond to Lower Wapato Lake is intermittent and has not been surveyed for trout.",650.576409948333
155,10928,Hayes Creek,Hayes Creek,RIVER,0.01,7.78,7.77,MILES,CLASS III,481100,,N,,Class III Trout,Official,,"Trout Book: 2002 Spatial Data, SWIMS Data and Professional Decision",NA,This AU: Entire creek,12505.1878517289
156,10930,First S Br Oconto River,First South Branch Oconto River,RIVER,0.68,11.29,10.61,MILES,CLASS I,484700,ORW,N,,Cold  (Class I Trout),Official,,"Fish IBI Analysis Package, Trout Book: 2002 Spatial Data",NA,"This AU: From Oconto/Menomonee Co. line up to State HWY 32

OEW Name:  First S Branch Oconto River 
WBIC:  484700 
OE Code:  O 
",17068.8899981392
157,10932,Pat Creek,Pat Creek,RIVER,0,0.76,0.76,MILES,CLASS I,485400,ERW,N,,Cold  (Class I Trout),Official,,Trout Book: 2002 Spatial Data,NA,This AU: Entire creek,1215.3936573792
158,10934,Second S Br Oconto River,Second South Branch Oconto River,RIVER,0,9.24,9.24,MILES,CLASS I,488500,ORW,N,,Cold  (Class I Trout),Official,,"Macroinvertebrate IBI Package, Trout Book: 2002 Spatial Data",NA,This AU: From main South Branch Oconto River to Deadman creek,14868.7095692937
163,11198,Little W Br Wolf River,Little W. Branch Wolf,RIVER,0,13.05,13.05,MILES,CLASS I,346700,ERW,N,,Cold  (Class I Trout),Official,,NA,NA,,20998.706777791
164,11204,Goto Creek,"Creek 22-13 (T31n, R12e)Goto Creek",RIVER,0,0.27,0.27,MILES,CLASS I,348600,ERW,N,,Cold  (Class I Trout),Official,,"Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,This AU: entire stream.,438.90540260459
165,11215,McGee Creek,Mcgee Creek,RIVER,0,1.33,1.33,MILES,CLASS I,352600,ERW,N,,Cold  (Class I Trout),Official,,"Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,This AU: entire stream,2143.62384795607
166,11224,Big Eddy Creek,Big Eddy Creek,RIVER,0,0.81,0.81,MILES,CLASS I,355400,ERW,N,,Cold  (Class I Trout),Official,,"Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,This AU: entire stream,1295.72770851974
167,11227,Dalles Creek,Dalles Creek,RIVER,0,9.92,9.92,MILES,CLASS I,356500,ERW,N,,Cold  (Class I Trout),Official,,NA,NA,,15970.2841470206
168,11259,Unnamed,Creek 30-16  (T33n-R14e-S30),RIVER,0,0.36,0.36,MILES,CLASS I,367800,ERW,N,,Cold  (Class I Trout),Official,,"Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,"This AU: entire stream.
OERW layer should be corrected. ERW: 38 labeled Creek 30-16 goes along the Creek 29-9.",570.758876884053
171,11362,Millhome Creek,Millhome Creek,RIVER,0,1.97,1.97,MILES,CLASS I,57200,ERW,N,,Cold  (Class I Trout),Official,,Trout Book: 2002 Spatial Data,NA,entire stream,2663.21931318122
186,11490,Rosenow Creek,Rosenow Creek,RIVER,0,0.53,0.53,MILES,CLASS II,848900,,N,,Cold  (Class II Trout),Official,,"Fish IBI Analysis Package, Chloride Assessment Package, Trout Book: 2002 Spatial Data",NA,This AU:  Mouth (Lac La Belle) to Hwy. 67.,854.715196967222
201,11045,Lunch Creek,Lunch Creek,RIVER,11.55,18.35,6.8,MILES,CLASS I,149900,ERW,N,,Cold  (Class I Trout),Official,,"Fish IBI Analysis Package, Temperature Assessment Package, Trout Book: 2002 Spatial Data, SWIMS Data and Professional Decision",NA,"AU: Hwy 22 to headwaters. 
",10946.8586761686
202,11049,West Branch White River,West Branch White River,RIVER,8,15.87,7.87,MILES,CLASS I,151700,ORW,N,,Cold  (Class I Trout),Official,,"Fish Community Survey Data, Macroinvertebrate IBI Package, Trout Book: 2002 Spatial Data, Temperature Assessment Package, SWIMS Data and Professional Decision, Total Phosphorus Package - Streams",NA,entire stream,12673.3357682002
206,11109,Unnamed,"Creek 36-8 (T28n, R14e)",RIVER,0,1.24,1.24,MILES,CLASS I,327250,ERW,N,,Cold  (Class I Trout),Official,,"Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,This AU: entire stream,2003.60008557292
207,11110,Miller Creek,Miller Creek,RIVER,0,15.51,15.51,MILES,CLASS I,327900,ERW,N,,Cold  (Class I Trout),Official,,"Fish IBI Analysis Package, Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,"This AU: entire stream.
The stream is in two counties: Shawano and Menominee. Shawano part is called Miller Creek. Menominee part is Mill creek.",24953.7612541291
209,11113,Unnamed,Creek 15-3 (T28n-R14e-S15),RIVER,0,0.52,0.52,MILES,CLASS I,328700,ERW,N,,Cold  (Class I Trout),Official,,Trout Book: 1980 Blue Book,NA,This is the Creek 15-3 as shown in the ERW data and in the 1973 trout book.  2002 representation of Creek 15-3 runs from Island Creek to Beaulieu Lake and is digitized separately.,840.606519187939
210,11121,Unnamed,"Creek 32-2 (T28n, R14e)",RIVER,0,0.76,0.76,MILES,CLASS II,330000,,N,,Cold  (Class II Trout),Official,,"Fish IBI Analysis Package, Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,"This AU: Below Creek 32-10. 
Creek 32-10 is not in the trout books, therefore the tributary of the Creek 32-2 located in section 32 is assumed to be the Creek 32-10",1216.30364780137
211,11127,Silver Creek,Silver Creek,RIVER,0,12.38,12.38,MILES,CLASS I,330700,ERW,N,,Cold  (Class I Trout),Official,,"Fish IBI Analysis Package, Macroinvertebrate IBI Package, Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,This AU: entire stream,19917.0998968003
212,11132,Mattoon Creek,Mattoon Creek,RIVER,0,3.78,3.78,MILES,CLASS I,332400,ERW,N,,Cold  (Class I Trout),Official,,"Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,This AU: Shawano county part of the stream.,6075.89969229522
213,11139,Tousey Creek,Tousey Creek  ,RIVER,0,0.43,0.43,MILES,CLASS I,334900,ERW,N,,Cold  (Class I Trout),Official,,"Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,This AU: From the mouth to Menominee county line (Shawano county part of the stream). ,683.97310323438
214,11146,Unnamed,Un Creek 11-9 (T30n-R12e-S11),RIVER,0,0.83,0.83,MILES,CLASS I,336800,ERW,N,,Cold  (Class I Trout),Official,,"Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,This AU: entire stream.,1327.87254256703
215,11178,North Branch Oshkosh Creek,Oshkosh Creek-N. Branch,RIVER,0,1.16,1.16,MILES,CLASS I,341200,ERW,N,,Cold  (Class I Trout),Official,,"Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,"This AU: entire stream.
Web Viewer shows the name for North Branch Oshkosh Creek as Oshkosh Creek. The current names and locations of the Oshkosh Creek and the North Branch Oshkosh Creek should be checked.",1872.97437012289
216,11184,Little W Br Creek,Little W. Branch Creek,RIVER,0,19.57,19.57,MILES,CLASS I,342200,ERW,N,,Cold  (Class I Trout),Official,,"Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,This AU: entire stream,31488.7231132043
220,10638,Hoffman Creek,Hoffman Creek,RIVER,0,0.44,0.44,MILES,CLASS II,394000,,N,,Cold  (Class II Trout),Official,,"Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,This AU: entire stream,711.93993710679
222,10660,Pedro Creek,Pedro Creek,RIVER,4.55,5.51,0.96,MILES,CLASS II,401600,,N,,Cold  (Class II Trout),Official,,Trout Book: 2002 Spatial Data,NA,"24k hydro has Flood Spring polygon extending a mile downstream from the springs to just north of the Oneida-Langlade county line.  1980/2002 Trout data refers to this as the class 2 portion of Pedro Creek.  Manually digitized hydro flow potential line to match trout layer representation.

",1539.30444708306
223,10666,Palm Creek,Palm Creek,RIVER,0,0.71,0.71,MILES,CLASS I,404500,ERW,N,,Cold  (Class I Trout),Official,,Trout Book: 1980 Blue Book,NA,,1134.98450195919
232,10718,Caves Creek,Caves Creek,RIVER,0,12.1,12.1,MILES,CLASS I,166100,ERW,Y,,Cold  (Class I Trout),Official,,"Fish Community Survey Data, Fish IBI Analysis Package, Macroinvertebrate IBI Package, Temperature Assessment Package, Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,entire stream,15175.3166283718
239,10780,Pine River,Pine River,RIVER,8.54,17,8.46,MILES,CLASS II,247800,ERW,N,,Cold  (Class II Trout),Official,,"Fish IBI Analysis Package, Macroinvertebrate IBI Package, Trout Book: 2002 Spatial Data, Total Phosphorus Package - Streams, Trout Book: 1980 Blue Book",NA,,13634.173406606
240,10783,Little Silver Creek,Little Silver Creek,RIVER,0,6.13,6.13,MILES,CLASS I,248600,ERW,N,,Cold  (Class I Trout),Official,,"Fish IBI Analysis Package, Macroinvertebrate IBI Package, Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,,9863.94136596996
247,11857,Jones Creek,Jones Creek,RIVER,0,1.1,1.1,MILES,CLASS II,518000,,N,,Cold  (Class II Trout),Official,,"Trout Book: 2002 Spatial Data, Total Phosphorus Package - Streams",NA,This AU: Entire creek,1777.08484937913
248,11858,School Creek,School Creek,RIVER,0,2.19,2.19,MILES,CLASS II,518100,,N,,Cold  (Class II Trout),Official,,Trout Book: 2002 Spatial Data,NA,This AU: Entire creek,3529.01854485965
