OID_,X,Y,FID,OBJECTID,LATITUDE,LONGITUDE,SITE_NAME,SITE_NO,SITE_TYPE,SOURCE,OBJECTID_1,OBS_DATE,SITE_NO_1,SITE_NAM_1,OBS_TYPE,OBS,UNIT
67595,-9923804.211726170033216,5477048.203766950406134,67595,16684,44.074950000000001,-89.147049999999993,Willow Creek At Cth S And Z,10028918.000000000000000,ST,WDNR,69593,2016/05/24 00:00:00+00,10028918.000000000000000,Willow Creek At Cth S And Z,ST,53.409999999999997,CFS
67596,-9923804.211726170033216,5477048.203766950406134,67596,16684,44.074950000000001,-89.147049999999993,Willow Creek At Cth S And Z,10028918.000000000000000,ST,WDNR,69594,2016/06/24 00:00:00+00,10028918.000000000000000,Willow Creek At Cth S And Z,ST,44.229999999999997,CFS
67597,-9923804.211726170033216,5477048.203766950406134,67597,16684,44.074950000000001,-89.147049999999993,Willow Creek At Cth S And Z,10028918.000000000000000,ST,WDNR,69595,2016/07/25 00:00:00+00,10028918.000000000000000,Willow Creek At Cth S And Z,ST,38.630000000000003,CFS
67598,-9923804.211726170033216,5477048.203766950406134,67598,16684,44.074950000000001,-89.147049999999993,Willow Creek At Cth S And Z,10028918.000000000000000,ST,WDNR,69596,2016/08/23 00:00:00+00,10028918.000000000000000,Willow Creek At Cth S And Z,ST,37.109999999999999,CFS
67599,-9923804.211726170033216,5477048.203766950406134,67599,16684,44.074950000000001,-89.147049999999993,Willow Creek At Cth S And Z,10028918.000000000000000,ST,WDNR,69597,2016/09/27 00:00:00+00,10028918.000000000000000,Willow Creek At Cth S And Z,ST,65.769999999999996,CFS
67600,-9923804.211726170033216,5477048.203766950406134,67600,16684,44.074950000000001,-89.147049999999993,Willow Creek At Cth S And Z,10028918.000000000000000,ST,WDNR,69598,2016/10/25 00:00:00+00,10028918.000000000000000,Willow Creek At Cth S And Z,ST,48.500000000000000,CFS
67601,-9923804.211726170033216,5477048.203766950406134,67601,16684,44.074950000000001,-89.147049999999993,Willow Creek At Cth S And Z,10028918.000000000000000,ST,WDNR,69599,2017/05/08 00:00:00+00,10028918.000000000000000,Willow Creek At Cth S And Z,ST,52.500000000000000,CFS
67602,-9923804.211726170033216,5477048.203766950406134,67602,16684,44.074950000000001,-89.147049999999993,Willow Creek At Cth S And Z,10028918.000000000000000,ST,WDNR,69600,2017/06/12 00:00:00+00,10028918.000000000000000,Willow Creek At Cth S And Z,ST,44.979999999999997,CFS
67603,-9923804.211726170033216,5477048.203766950406134,67603,16684,44.074950000000001,-89.147049999999993,Willow Creek At Cth S And Z,10028918.000000000000000,ST,WDNR,69601,2017/07/10 00:00:00+00,10028918.000000000000000,Willow Creek At Cth S And Z,ST,57.210000000000001,CFS
67604,-9923804.211726170033216,5477048.203766950406134,67604,16684,44.074950000000001,-89.147049999999993,Willow Creek At Cth S And Z,10028918.000000000000000,ST,WDNR,69602,2017/08/14 00:00:00+00,10028918.000000000000000,Willow Creek At Cth S And Z,ST,55.759999999999998,CFS
67605,-9923804.211726170033216,5477048.203766950406134,67605,16684,44.074950000000001,-89.147049999999993,Willow Creek At Cth S And Z,10028918.000000000000000,ST,WDNR,69603,2017/09/14 00:00:00+00,10028918.000000000000000,Willow Creek At Cth S And Z,ST,48.579999999999998,CFS
67606,-9923804.211726170033216,5477048.203766950406134,67606,16684,44.074950000000001,-89.147049999999993,Willow Creek At Cth S And Z,10028918.000000000000000,ST,WDNR,69604,2017/10/09 00:00:00+00,10028918.000000000000000,Willow Creek At Cth S And Z,ST,77.609999999999999,CFS
67607,-9923804.211726170033216,5477048.203766950406134,67607,16684,44.074950000000001,-89.147049999999993,Willow Creek At Cth S And Z,10028918.000000000000000,ST,WDNR,69605,2018/05/14 00:00:00+00,10028918.000000000000000,Willow Creek At Cth S And Z,ST,63.259999999999998,CFS
67608,-9923804.211726170033216,5477048.203766950406134,67608,16684,44.074950000000001,-89.147049999999993,Willow Creek At Cth S And Z,10028918.000000000000000,ST,WDNR,69606,2018/06/12 00:00:00+00,10028918.000000000000000,Willow Creek At Cth S And Z,ST,48.020000000000003,CFS
67609,-9923804.211726170033216,5477048.203766950406134,67609,16684,44.074950000000001,-89.147049999999993,Willow Creek At Cth S And Z,10028918.000000000000000,ST,WDNR,69607,2018/07/19 00:00:00+00,10028918.000000000000000,Willow Creek At Cth S And Z,ST,42.649999999999999,CFS
67610,-9923804.211726170033216,5477048.203766950406134,67610,16684,44.074950000000001,-89.147049999999993,Willow Creek At Cth S And Z,10028918.000000000000000,ST,WDNR,69608,2018/08/13 00:00:00+00,10028918.000000000000000,Willow Creek At Cth S And Z,ST,40.509999999999998,CFS
67611,-9923804.211726170033216,5477048.203766950406134,67611,16684,44.074950000000001,-89.147049999999993,Willow Creek At Cth S And Z,10028918.000000000000000,ST,WDNR,69609,2018/09/10 00:00:00+00,10028918.000000000000000,Willow Creek At Cth S And Z,ST,66.079999999999998,CFS
67612,-9923804.211726170033216,5477048.203766950406134,67612,16684,44.074950000000001,-89.147049999999993,Willow Creek At Cth S And Z,10028918.000000000000000,ST,WDNR,69610,2019/05/14 00:00:00+00,10028918.000000000000000,Willow Creek At Cth S And Z,ST,65.859999999999999,CFS
67613,-9923804.211726170033216,5477048.203766950406134,67613,16684,44.074950000000001,-89.147049999999993,Willow Creek At Cth S And Z,10028918.000000000000000,ST,WDNR,69611,2019/07/15 00:00:00+00,10028918.000000000000000,Willow Creek At Cth S And Z,ST,46.969999999999999,CFS
67614,-9923804.211726170033216,5477048.203766950406134,67614,16684,44.074950000000001,-89.147049999999993,Willow Creek At Cth S And Z,10028918.000000000000000,ST,WDNR,69612,2019/08/13 00:00:00+00,10028918.000000000000000,Willow Creek At Cth S And Z,ST,64.079999999999998,CFS
67615,-9923804.211726170033216,5477048.203766950406134,67615,16684,44.074950000000001,-89.147049999999993,Willow Creek At Cth S And Z,10028918.000000000000000,ST,WDNR,69613,2019/09/09 00:00:00+00,10028918.000000000000000,Willow Creek At Cth S And Z,ST,51.140000000000001,CFS
67616,-9923804.211726170033216,5477048.203766950406134,67616,16684,44.074950000000001,-89.147049999999993,Willow Creek At Cth S And Z,10028918.000000000000000,ST,WDNR,69614,2019/10/15 00:00:00+00,10028918.000000000000000,Willow Creek At Cth S And Z,ST,57.039999999999999,CFS
67617,-9989973.073638819158077,5463099.532193750143051,67617,16696,43.984859999999998,-89.741455000000002,Fordham Creek at 8th Dr,10030208.000000000000000,ST,WDNR,69615,2015/08/05 00:00:00+00,10030208.000000000000000,Fordham Creek at 8th Dr,ST,8.866000000000000,CFS
67618,-9989973.073638819158077,5463099.532193750143051,67618,16696,43.984859999999998,-89.741455000000002,Fordham Creek at 8th Dr,10030208.000000000000000,ST,WDNR,69616,2018/05/28 00:00:00+00,10030208.000000000000000,Fordham Creek at 8th Dr,ST,34.680000000000000,CFS
67619,-9989973.073638819158077,5463099.532193750143051,67619,16696,43.984859999999998,-89.741455000000002,Fordham Creek at 8th Dr,10030208.000000000000000,ST,WDNR,69617,2018/06/21 00:00:00+00,10030208.000000000000000,Fordham Creek at 8th Dr,ST,18.989999999999998,CFS
67620,-9989973.073638819158077,5463099.532193750143051,67620,16696,43.984859999999998,-89.741455000000002,Fordham Creek at 8th Dr,10030208.000000000000000,ST,WDNR,69618,2018/07/22 00:00:00+00,10030208.000000000000000,Fordham Creek at 8th Dr,ST,17.780000000000001,CFS
67621,-9989973.073638819158077,5463099.532193750143051,67621,16696,43.984859999999998,-89.741455000000002,Fordham Creek at 8th Dr,10030208.000000000000000,ST,WDNR,69619,2018/08/23 00:00:00+00,10030208.000000000000000,Fordham Creek at 8th Dr,ST,9.020000000000000,CFS
67622,-9989973.073638819158077,5463099.532193750143051,67622,16696,43.984859999999998,-89.741455000000002,Fordham Creek at 8th Dr,10030208.000000000000000,ST,WDNR,69620,2018/09/21 00:00:00+00,10030208.000000000000000,Fordham Creek at 8th Dr,ST,31.340000000000000,CFS
67623,-9989973.073638819158077,5463099.532193750143051,67623,16696,43.984859999999998,-89.741455000000002,Fordham Creek at 8th Dr,10030208.000000000000000,ST,WDNR,69621,2018/10/23 00:00:00+00,10030208.000000000000000,Fordham Creek at 8th Dr,ST,29.440000000000001,CFS
67624,-9989973.073638819158077,5463099.532193750143051,67624,16696,43.984859999999998,-89.741455000000002,Fordham Creek at 8th Dr,10030208.000000000000000,ST,WDNR,69622,2019/08/21 00:00:00+00,10030208.000000000000000,Fordham Creek at 8th Dr,ST,17.449999999999999,CFS
67625,-9989973.073638819158077,5463099.532193750143051,67625,16696,43.984859999999998,-89.741455000000002,Fordham Creek at 8th Dr,10030208.000000000000000,ST,WDNR,69623,2019/10/09 00:00:00+00,10030208.000000000000000,Fordham Creek at 8th Dr,ST,24.539999999999999,CFS
67626,-9949331.552053239196539,5465459.825001169927418,67626,16716,44.000114000000004,-89.376366000000004,Mecan River At 100 Yrds South Of W9853 Cypress Rd West Of Cty Y,10020692.000000000000000,ST,WDNR,69624,2015/05/16 00:00:00+00,10020692.000000000000000,Mecan River At 100 Yrds South Of W9853 Cypress Rd West Of Cty Y,ST,38.909999999999997,CFS
67627,-9949331.552053239196539,5465459.825001169927418,67627,16716,44.000114000000004,-89.376366000000004,Mecan River At 100 Yrds South Of W9853 Cypress Rd West Of Cty Y,10020692.000000000000000,ST,WDNR,69625,2015/06/16 00:00:00+00,10020692.000000000000000,Mecan River At 100 Yrds South Of W9853 Cypress Rd West Of Cty Y,ST,35.750000000000000,CFS
67628,-9949331.552053239196539,5465459.825001169927418,67628,16716,44.000114000000004,-89.376366000000004,Mecan River At 100 Yrds South Of W9853 Cypress Rd West Of Cty Y,10020692.000000000000000,ST,WDNR,69626,2015/07/22 00:00:00+00,10020692.000000000000000,Mecan River At 100 Yrds South Of W9853 Cypress Rd West Of Cty Y,ST,28.449999999999999,CFS
67629,-9949331.552053239196539,5465459.825001169927418,67629,16716,44.000114000000004,-89.376366000000004,Mecan River At 100 Yrds South Of W9853 Cypress Rd West Of Cty Y,10020692.000000000000000,ST,WDNR,69627,2015/08/19 00:00:00+00,10020692.000000000000000,Mecan River At 100 Yrds South Of W9853 Cypress Rd West Of Cty Y,ST,31.539999999999999,CFS
67630,-9949331.552053239196539,5465459.825001169927418,67630,16716,44.000114000000004,-89.376366000000004,Mecan River At 100 Yrds South Of W9853 Cypress Rd West Of Cty Y,10020692.000000000000000,ST,WDNR,69628,2015/09/16 00:00:00+00,10020692.000000000000000,Mecan River At 100 Yrds South Of W9853 Cypress Rd West Of Cty Y,ST,23.840000000000000,CFS
67631,-9949331.552053239196539,5465459.825001169927418,67631,16716,44.000114000000004,-89.376366000000004,Mecan River At 100 Yrds South Of W9853 Cypress Rd West Of Cty Y,10020692.000000000000000,ST,WDNR,69629,2015/10/14 00:00:00+00,10020692.000000000000000,Mecan River At 100 Yrds South Of W9853 Cypress Rd West Of Cty Y,ST,27.949999999999999,CFS
67632,-9949331.552053239196539,5465459.825001169927418,67632,16716,44.000114000000004,-89.376366000000004,Mecan River At 100 Yrds South Of W9853 Cypress Rd West Of Cty Y,10020692.000000000000000,ST,WDNR,69630,2016/05/16 00:00:00+00,10020692.000000000000000,Mecan River At 100 Yrds South Of W9853 Cypress Rd West Of Cty Y,ST,36.689999999999998,CFS
67633,-9949331.552053239196539,5465459.825001169927418,67633,16716,44.000114000000004,-89.376366000000004,Mecan River At 100 Yrds South Of W9853 Cypress Rd West Of Cty Y,10020692.000000000000000,ST,WDNR,69631,2016/07/18 00:00:00+00,10020692.000000000000000,Mecan River At 100 Yrds South Of W9853 Cypress Rd West Of Cty Y,ST,37.579999999999998,CFS
67634,-9949331.552053239196539,5465459.825001169927418,67634,16716,44.000114000000004,-89.376366000000004,Mecan River At 100 Yrds South Of W9853 Cypress Rd West Of Cty Y,10020692.000000000000000,ST,WDNR,69632,2016/08/22 00:00:00+00,10020692.000000000000000,Mecan River At 100 Yrds South Of W9853 Cypress Rd West Of Cty Y,ST,41.390000000000001,CFS
67635,-9949331.552053239196539,5465459.825001169927418,67635,16716,44.000114000000004,-89.376366000000004,Mecan River At 100 Yrds South Of W9853 Cypress Rd West Of Cty Y,10020692.000000000000000,ST,WDNR,69633,2016/09/13 00:00:00+00,10020692.000000000000000,Mecan River At 100 Yrds South Of W9853 Cypress Rd West Of Cty Y,ST,31.960000000000001,CFS
67636,-9949331.552053239196539,5465459.825001169927418,67636,16716,44.000114000000004,-89.376366000000004,Mecan River At 100 Yrds South Of W9853 Cypress Rd West Of Cty Y,10020692.000000000000000,ST,WDNR,69634,2017/05/22 00:00:00+00,10020692.000000000000000,Mecan River At 100 Yrds South Of W9853 Cypress Rd West Of Cty Y,ST,42.920000000000002,CFS
67637,-9949331.552053239196539,5465459.825001169927418,67637,16716,44.000114000000004,-89.376366000000004,Mecan River At 100 Yrds South Of W9853 Cypress Rd West Of Cty Y,10020692.000000000000000,ST,WDNR,69635,2017/06/12 00:00:00+00,10020692.000000000000000,Mecan River At 100 Yrds South Of W9853 Cypress Rd West Of Cty Y,ST,38.930000000000000,CFS
67638,-9949331.552053239196539,5465459.825001169927418,67638,16716,44.000114000000004,-89.376366000000004,Mecan River At 100 Yrds South Of W9853 Cypress Rd West Of Cty Y,10020692.000000000000000,ST,WDNR,69636,2017/07/10 00:00:00+00,10020692.000000000000000,Mecan River At 100 Yrds South Of W9853 Cypress Rd West Of Cty Y,ST,43.109999999999999,CFS
67639,-9949331.552053239196539,5465459.825001169927418,67639,16716,44.000114000000004,-89.376366000000004,Mecan River At 100 Yrds South Of W9853 Cypress Rd West Of Cty Y,10020692.000000000000000,ST,WDNR,69637,2017/08/17 00:00:00+00,10020692.000000000000000,Mecan River At 100 Yrds South Of W9853 Cypress Rd West Of Cty Y,ST,44.060000000000002,CFS
67640,-9949331.552053239196539,5465459.825001169927418,67640,16716,44.000114000000004,-89.376366000000004,Mecan River At 100 Yrds South Of W9853 Cypress Rd West Of Cty Y,10020692.000000000000000,ST,WDNR,69638,2017/09/11 00:00:00+00,10020692.000000000000000,Mecan River At 100 Yrds South Of W9853 Cypress Rd West Of Cty Y,ST,34.189999999999998,CFS
67641,-9949331.552053239196539,5465459.825001169927418,67641,16716,44.000114000000004,-89.376366000000004,Mecan River At 100 Yrds South Of W9853 Cypress Rd West Of Cty Y,10020692.000000000000000,ST,WDNR,69639,2017/10/05 00:00:00+00,10020692.000000000000000,Mecan River At 100 Yrds South Of W9853 Cypress Rd West Of Cty Y,ST,40.450000000000003,CFS
67642,-9949331.552053239196539,5465459.825001169927418,67642,16716,44.000114000000004,-89.376366000000004,Mecan River At 100 Yrds South Of W9853 Cypress Rd West Of Cty Y,10020692.000000000000000,ST,WDNR,69640,2018/05/14 00:00:00+00,10020692.000000000000000,Mecan River At 100 Yrds South Of W9853 Cypress Rd West Of Cty Y,ST,42.609999999999999,CFS
67643,-9949331.552053239196539,5465459.825001169927418,67643,16716,44.000114000000004,-89.376366000000004,Mecan River At 100 Yrds South Of W9853 Cypress Rd West Of Cty Y,10020692.000000000000000,ST,WDNR,69641,2018/06/11 00:00:00+00,10020692.000000000000000,Mecan River At 100 Yrds South Of W9853 Cypress Rd West Of Cty Y,ST,33.350000000000001,CFS
67644,-9949331.552053239196539,5465459.825001169927418,67644,16716,44.000114000000004,-89.376366000000004,Mecan River At 100 Yrds South Of W9853 Cypress Rd West Of Cty Y,10020692.000000000000000,ST,WDNR,69642,2018/07/16 00:00:00+00,10020692.000000000000000,Mecan River At 100 Yrds South Of W9853 Cypress Rd West Of Cty Y,ST,32.909999999999997,CFS
67645,-9949331.552053239196539,5465459.825001169927418,67645,16716,44.000114000000004,-89.376366000000004,Mecan River At 100 Yrds South Of W9853 Cypress Rd West Of Cty Y,10020692.000000000000000,ST,WDNR,69643,2018/08/13 00:00:00+00,10020692.000000000000000,Mecan River At 100 Yrds South Of W9853 Cypress Rd West Of Cty Y,ST,26.440000000000001,CFS
67646,-9949331.552053239196539,5465459.825001169927418,67646,16716,44.000114000000004,-89.376366000000004,Mecan River At 100 Yrds South Of W9853 Cypress Rd West Of Cty Y,10020692.000000000000000,ST,WDNR,69644,2018/09/10 00:00:00+00,10020692.000000000000000,Mecan River At 100 Yrds South Of W9853 Cypress Rd West Of Cty Y,ST,38.859999999999999,CFS
67647,-9949331.552053239196539,5465459.825001169927418,67647,16716,44.000114000000004,-89.376366000000004,Mecan River At 100 Yrds South Of W9853 Cypress Rd West Of Cty Y,10020692.000000000000000,ST,WDNR,69645,2018/10/25 00:00:00+00,10020692.000000000000000,Mecan River At 100 Yrds South Of W9853 Cypress Rd West Of Cty Y,ST,59.770000000000003,CFS
67648,-9949331.552053239196539,5465459.825001169927418,67648,16716,44.000114000000004,-89.376366000000004,Mecan River At 100 Yrds South Of W9853 Cypress Rd West Of Cty Y,10020692.000000000000000,ST,WDNR,69646,2019/05/29 00:00:00+00,10020692.000000000000000,Mecan River At 100 Yrds South Of W9853 Cypress Rd West Of Cty Y,ST,41.710000000000001,CFS
67649,-9949331.552053239196539,5465459.825001169927418,67649,16716,44.000114000000004,-89.376366000000004,Mecan River At 100 Yrds South Of W9853 Cypress Rd West Of Cty Y,10020692.000000000000000,ST,WDNR,69647,2019/06/10 00:00:00+00,10020692.000000000000000,Mecan River At 100 Yrds South Of W9853 Cypress Rd West Of Cty Y,ST,44.789999999999999,CFS
67650,-9987855.776908790692687,5467115.981923890300095,67650,16794,44.010815000000001,-89.722435000000004,Little Roche A Cri Creek  at Cypress Ave,10010999.000000000000000,ST,WDNR,69648,2013/09/02 00:00:00+00,10010999.000000000000000,Little Roche A Cri Creek  at Cypress Ave,ST,4.370000000000000,CFS
67651,-9993186.310796989127994,5512743.994477859698236,67651,16750,44.304873999999998,-89.770319999999998,Sevenmile Creek at Seven Mile Trl (downstream culvert),10040895.000000000000000,ST,WDNR,69649,2015/08/01 00:00:00+00,10040895.000000000000000,Sevenmile Creek at Seven Mile Trl (downstream culvert),ST,1.071000000000000,CFS
67652,-9993186.310796989127994,5512743.994477859698236,67652,16750,44.304873999999998,-89.770319999999998,Sevenmile Creek at Seven Mile Trl (downstream culvert),10040895.000000000000000,ST,WDNR,69650,2015/09/01 00:00:00+00,10040895.000000000000000,Sevenmile Creek at Seven Mile Trl (downstream culvert),ST,0.195000000000000,CFS
67653,-9993186.310796989127994,5512743.994477859698236,67653,16750,44.304873999999998,-89.770319999999998,Sevenmile Creek at Seven Mile Trl (downstream culvert),10040895.000000000000000,ST,WDNR,69651,2015/10/16 00:00:00+00,10040895.000000000000000,Sevenmile Creek at Seven Mile Trl (downstream culvert),ST,1.165000000000000,CFS
