FID,SITE_SEQ_N,SOURCE_SIT,SOURCE_TYP,WDRL_YEAR,USE_DESC,WATER_US_1,METHOD_COD,REPORT_COM,WDRL_FLAG,JAN_WDRL_G,FEB_WDRL_G,MAR_WDRL_G,APR_WDRL_G,MAY_WDRL_G,JUN_WDRL_G,JUL_WDRL_G,AUG_WDRL_G,SEP_WDRL_G,OCT_WDRL_G,NOV_WDRL_G,DEC_WDRL_G,ANNUAL_WDR,Shape__Area,Shape__Length
5109,23215,19320,Groundwater,2013,agricultural irrigation,IR10,THM, ,N,0,0,0,0,0,0,0,0,0,0,0,0,0,4995495.324,8940.886671
5311,12900,5112,Groundwater,2012,agricultural irrigation,IR10,COTH, ,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,5069733.313,9006.640371
5943,19208,15543,Groundwater,2012,agricultural irrigation,IR10,THM, ,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,4989597.945,8935.82181
6887,5019,4773,Groundwater,2013,agricultural irrigation,IR10,THM, ,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,10152972.48,13543.40361
7158,22973,19105,Groundwater,2013,agricultural irrigation,IR10,THM, ,N,0,0,0,0,0,0,0,0,0,0,0,0,0,4946226.445,8896.352397
7383,6316,1648,Groundwater,2012,agricultural irrigation,IR10,THM, ,N,0,0,0,0,0,0,0,0,0,0,0,0,0,5002981.336,8947.434055
7498,8898,8452,Groundwater,2013,agricultural irrigation,IR10,THM, ,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,4259432.07,8283.084198
7544,9143,4969,Groundwater,2013,agricultural irrigation,IR10,THM, ,N,0,0,0,0,0,0,0,0,0,0,0,0,0,5047046.258,8986.461383
7684,22102,18253,Groundwater,2013,agricultural irrigation,IR10,THM,Well not constructed until 2014.  Report corrected B Smail,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,5003537.746,8974.032439
7710,23212,19317,Groundwater,2013,agricultural irrigation,IR10,THM, ,N,0,0,0,0,0,0,0,0,0,0,0,0,0,4766847.406,8736.931362
8358,5259,3030,Groundwater,2012,agricultural irrigation,IR10,COTH, ,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,5091584.008,9026.161887
8492,4143,6011,Groundwater,2013,agricultural irrigation,IR10,THM, ,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,5029427.652,8971.448042
8582,23216,19321,Groundwater,2013,agricultural irrigation,IR10,THM, ,N,0,0,0,0,0,0,0,0,0,0,0,0,0,5128245.227,9058.940307
8858,6506,5255,Groundwater,2012,agricultural irrigation,IR10,COTH, ,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,5090257.973,9024.68547
8904,10377,1162,Groundwater,2012,agricultural irrigation,IR10,COTH,"This well abn, replaced by 71167 - ksm 12/13/13",Y,0,0,0,0,0,0,0,0,0,0,0,0,0,5096991.758,9031.148333
8973,9136,1976,Groundwater,2012,agricultural irrigation,IR10,THM, ,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,5102584.98,9035.56831
9013,21984,18135,Groundwater,2012,agricultural irrigation,IR10,LET, ,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,5015000.598,8957.954018
9555,20498,16569,Groundwater,2011,agricultural irrigation,IR10,THM, ,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,6089607.277,10063.64965
9808,21997,18148,Groundwater,2012,agricultural irrigation,IR10,MHP, ,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,5040592.004,8982.852506
12062,5313,4991,Groundwater,2014,agricultural irrigation,IR10,THM, ,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,5058663.059,9003.35587
13947,23222,19326,Groundwater,2015,agricultural irrigation,IR10,THM,Reports for 73203 and 73204 originally switched. Corrected by B Smail.,N,0,0,0,0,0,0,0,0,0,0,0,0,0,5088309.988,9023.466237
17120,9119,5839,Groundwater,2016,agricultural irrigation,IR10,TFM, ,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,5003939.824,8948.115609
17586,10225,5254,Groundwater,2016,agricultural irrigation,IR10,THM, ,N,0,0,0,0,0,0,0,0,0,0,0,0,0,10152972.48,13543.40361
17649,23222,19326,Groundwater,2016,agricultural irrigation,IR10,THM,Reports for 73203 and 73204 originally switched. Corrected by B Smail.,N,0,0,0,0,0,0,0,0,0,0,0,0,0,5088309.988,9023.466237
20415,5248,4690,Groundwater,2017,agricultural irrigation,IR10,THM, ,N,0,0,0,0,0,0,0,0,0,0,0,0,0,5093581.688,9027.809187
21257,11645,5840,Groundwater,2017,agricultural irrigation,IR10,THM, ,N,0,0,0,0,0,0,0,0,0,0,0,0,0,5003939.824,8948.115609
25117,9119,5839,Groundwater,2018,agricultural irrigation,IR10,THM, ,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,5003939.824,8948.115609
25133,10363,5890,Groundwater,2018,agricultural irrigation,IR10,THM, ,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,5130538.66,9061.001245
6925,22402,18553,Groundwater,2013,dairy farming,LV10,LERD, ,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,4990836.977,8936.133626
8571,7723,1597,Groundwater,2013,non dairy farming,LV20,TFM, ,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,4946226.445,8896.352397
7225,21729,17885,Groundwater,2013,public utility,PS11, , ,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,4505343.289,8502.744613
9952,18486,12364,Groundwater,2013,public utility,PS11,TFM, ,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,5105829.273,9040.330378
7671,13575,2607,Groundwater,2013,lodging,PS42,LEC, ,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,5196276.988,9118.73824
3993,11073,10687,Groundwater,2013,restaurants taverns,PS43,OTH, ,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,5021244.906,8963.614177
7758,5916,8237,Groundwater,2013,restaurants taverns,PS43,LEC, ,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,5058302.785,9001.77707
6305,10644,6606,Groundwater,2012,single residence private,DS11,LER,approved exclusively for single family residential uses,Y,1,0,0,0,0,0,0,0,0,0,0,0,1,5103757.363,9037.918375
18206,24330,20340,Groundwater,2016,single residence private,DS11,OTH, ,Y,1,0,0,0,0,0,0,0,0,0,0,0,1,5071135.777,9017.465262
19058,12734,9759,Groundwater,2016,single residence private,DS11,OTH, ,Y,1,0,0,0,0,0,0,0,0,0,0,0,1,5124414.719,9068.542256
794,14733,15053,Surface Water,2012,agricultural irrigation,IR10,THM,Withdrawal was originally recorded combined with well - BS,Y,0,0,0,0,0,1,0,0,0,0,0,0,1,4950194.824,8899.987539
1352,3940,7884,Groundwater,2013,agricultural irrigation,IR10,COTH,combined with hi cap well 24244,Y,0,0,0,0,0,0,1,0,0,0,0,0,1,5023336.375,8960.055296
3508,21920,18071,Groundwater,2013,agricultural irrigation,IR10,COTH,combined with hi cap well 23664,Y,0,0,0,0,0,0,1,0,0,0,0,0,1,5121447.324,9052.669938
4831,6506,5255,Groundwater,2013,agricultural irrigation,IR10,COTH,combined total with hi cap 23713,Y,0,0,0,0,0,0,1,0,0,0,0,0,1,5090257.973,9024.68547
9207,9129,7507,Groundwater,2013,agricultural irrigation,IR10,COTH,combined with hi cap well 23853,Y,0,0,0,0,0,0,1,0,0,0,0,0,1,5077941.941,9013.88695
9911,3923,4742,Groundwater,2013,agricultural irrigation,IR10,COTH,combined total with well 24319,Y,0,0,0,0,0,1,0,0,0,0,0,0,1,5054670.422,8993.148867
10410,6506,5255,Groundwater,2014,agricultural irrigation,IR10,COTH,water total included with well 24315.,Y,0,0,0,0,0,0,0,1,0,0,0,0,1,5090257.973,9024.68547
11235,5263,5258,Groundwater,2014,agricultural irrigation,IR10,COTH,Water amount included with well 23671.,Y,0,0,0,0,0,0,0,1,0,0,0,0,1,5054670.422,8993.148867
11236,9129,7507,Groundwater,2014,agricultural irrigation,IR10,COTH,Water amount included with well 23853.,Y,0,0,0,0,0,0,0,1,0,0,0,0,1,5077941.941,9013.88695
11247,21918,18069,Groundwater,2014,agricultural irrigation,IR10,COTH,Water amount included with well 23634.,Y,0,0,0,0,0,0,0,1,0,0,0,0,1,5054670.422,8993.148867
11252,3940,7884,Groundwater,2014,agricultural irrigation,IR10,COTH,Water amount included with well 24244.,Y,0,0,0,0,0,0,0,1,0,0,0,0,1,5023336.375,8960.055296
11258,10441,9951,Groundwater,2014,agricultural irrigation,IR10,COTH,Water amount included with well 24133.,Y,0,0,0,0,0,0,0,0,1,0,0,0,1,5069733.313,9006.640371
13329,3923,4742,Groundwater,2015,agricultural irrigation,IR10,COTH,Gallons included in report from well DN589.,Y,0,0,0,0,0,1,0,0,0,0,0,0,1,5054670.422,8993.148867
13332,9129,7507,Groundwater,2015,agricultural irrigation,IR10,COTH,Gallons included in report from well BC906.,Y,0,0,0,0,0,1,0,0,0,0,0,0,1,5077941.941,9013.88695
13342,21918,18069,Groundwater,2015,agricultural irrigation,IR10,COTH, ,Y,0,0,0,0,0,1,0,0,0,0,0,0,1,5054670.422,8993.148867
13347,3940,7884,Groundwater,2015,agricultural irrigation,IR10,COTH, ,Y,0,0,0,0,0,0,1,0,0,0,0,0,1,5023336.375,8960.055296
13353,10441,9951,Groundwater,2015,agricultural irrigation,IR10,COTH, ,Y,0,0,0,0,0,1,0,0,0,0,0,0,1,5069733.313,9006.640371
13376,10368,4774,Groundwater,2015,agricultural irrigation,IR10,COTH, ,Y,0,0,0,0,0,1,0,0,0,0,0,0,1,5090257.973,9024.68547
13795,21920,18071,Groundwater,2015,agricultural irrigation,IR10,COTH,Water from this well was included with well BC726.,Y,0,0,0,0,0,0,1,0,0,0,0,0,1,5121447.324,9052.669938
16737,3923,4742,Groundwater,2016,agricultural irrigation,IR10,COTH,See hi cap well #24319.,Y,0,0,0,0,0,0,1,0,0,0,0,0,1,5054670.422,8993.148867
16740,9129,7507,Groundwater,2016,agricultural irrigation,IR10,COTH,See hi cap well #23853.,Y,0,0,0,0,0,0,1,0,0,0,0,0,1,5077941.941,9013.88695
16743,21918,18069,Groundwater,2016,agricultural irrigation,IR10,COTH,See hi cap well #23634.,Y,0,0,0,0,0,0,1,0,0,0,0,0,1,5054670.422,8993.148867
16755,3940,7884,Groundwater,2016,agricultural irrigation,IR10,COTH,See hi cap well #24244.,Y,0,0,0,0,0,0,1,0,0,0,0,0,1,5023336.375,8960.055296
16761,10441,9951,Groundwater,2016,agricultural irrigation,IR10,COTH,See hi cap well #24133.,Y,0,0,0,0,0,0,1,0,0,0,0,0,1,5069733.313,9006.640371
16779,6506,5255,Groundwater,2016,agricultural irrigation,IR10,COTH,Water totals included with hi cap well #23713.,Y,0,0,0,0,0,0,1,0,0,0,0,0,1,5090257.973,9024.68547
17498,21073,17292,Groundwater,2016,agricultural irrigation,IR10,THM,Water totals included with high cap well #71736.,Y,0,0,0,0,0,0,1,0,0,0,0,0,1,5121447.324,9052.669938
19770,24696,20703,Groundwater,2017,agricultural irrigation,IR10,THM,Looking for information to enter in. Unsure about the correct total.,Y,0,0,0,0,1,0,0,0,0,0,0,0,1,5070967.32,9014.053763
19772,24697,20704,Groundwater,2017,agricultural irrigation,IR10,THM,Unsure about this one. Looking for information to fill in.,Y,0,0,0,0,0,0,1,0,0,0,0,0,1,4340184.957,8362.159186
19783,21918,18069,Groundwater,2017,agricultural irrigation,IR10,COTH,Withdraw included in hi cap well 23634.,Y,0,0,0,0,0,0,1,0,0,0,0,0,1,5054670.422,8993.148867
19789,10441,9951,Groundwater,2017,agricultural irrigation,IR10,COTH,Included with hi cap 24133.,Y,0,0,0,0,0,0,1,0,0,0,0,0,1,5069733.313,9006.640371
19865,21920,18071,Groundwater,2017,agricultural irrigation,IR10,THM,Withdraw included with hi cap well 23664.,Y,0,0,0,0,0,1,0,0,0,0,0,0,1,5121447.324,9052.669938
19914,10368,4774,Groundwater,2017,agricultural irrigation,IR10,COTH,withdraw included in hi cap 24315.,Y,0,0,0,0,0,0,1,0,0,0,0,0,1,5090257.973,9024.68547
19923,5263,5258,Groundwater,2017,agricultural irrigation,IR10,COTH,Withdraw included in hi cap 23671.,Y,0,0,0,0,0,0,0,1,0,0,0,0,1,5054670.422,8993.148867
19924,9129,7507,Groundwater,2017,agricultural irrigation,IR10,COTH,Withdraw included in hi cap 23853.,Y,0,0,0,0,0,0,0,1,0,0,0,0,1,5077941.941,9013.88695
19930,3940,7884,Groundwater,2017,agricultural irrigation,IR10,COTH,Withdraw included in hi cap 24244.,Y,0,0,0,0,0,0,0,1,0,0,0,0,1,5023336.375,8960.055296
21406,9384,917,Groundwater,2017,agricultural irrigation,IR10,THM, ,Y,0,0,0,0,0,1,0,0,0,0,0,0,1,4886287.09,8864.135354
21407,9980,926,Groundwater,2017,agricultural irrigation,IR10,THM, ,Y,0,0,0,0,0,1,0,0,0,0,0,0,1,4652075.34,8636.436026
22154,6506,5255,Groundwater,2018,agricultural irrigation,IR10,COTH,Included in withdraw of hi cap well 23713.,Y,0,0,0,0,0,0,1,0,0,0,0,0,1,5090257.973,9024.68547
22163,3923,4742,Groundwater,2018,agricultural irrigation,IR10,COTH,Included with hi cap 24319.,Y,0,0,0,0,0,0,1,0,0,0,0,0,1,5054670.422,8993.148867
22166,9129,7507,Groundwater,2018,agricultural irrigation,IR10,COTH,Included with hi cap 23853.,Y,0,0,0,0,0,0,1,0,0,0,0,0,1,5077941.941,9013.88695
22176,21918,18069,Groundwater,2018,agricultural irrigation,IR10,COTH,Included with hi cap 23634.,Y,0,0,0,0,0,0,1,0,0,0,0,0,1,5054670.422,8993.148867
22181,3940,7884,Groundwater,2018,agricultural irrigation,IR10,COTH,Included with hi cap 24244.,Y,0,0,0,0,0,0,1,0,0,0,0,0,1,5023336.375,8960.055296
22187,10441,9951,Groundwater,2018,agricultural irrigation,IR10,COTH,Included in hi cap 24133.,Y,0,0,0,0,0,0,1,0,0,0,0,0,1,5069733.313,9006.640371
22995,21920,18071,Groundwater,2018,agricultural irrigation,IR10,COTH,Amount included with high cap 23664.,Y,0,0,0,0,0,0,1,0,0,0,0,0,1,5121447.324,9052.669938
3,13673,6617,Groundwater,2010,fire protection,OT01, , ,Y,1,0,0,0,0,0,0,0,0,0,0,0,1,5041389.297,8981.39344
21208,22212,18344,Groundwater,2017,dairy farming,LV10,TFM, ,Y,0,0,0,0,0,0,0,2,0,0,0,0,2,5008478.867,8952.006567
1774,3923,4742,Groundwater,2012,agricultural irrigation,IR10,COTH,Total included with high cap #24319,Y,0,0,0,0,0,1,1,1,0,0,0,0,3,5054670.422,8993.148867
5309,3940,7884,Groundwater,2012,agricultural irrigation,IR10,COTH,Total water usage for this well is included in Roback 2 well,Y,0,0,0,0,0,1,1,1,0,0,0,0,3,5023336.375,8960.055296
732,21920,18071,Groundwater,2012,agricultural irrigation,IR10,COTH,Total is included with hi cap #23664,Y,0,0,0,0,1,1,1,1,0,0,0,0,4,5121447.324,9052.669938
1775,21918,18069,Groundwater,2012,agricultural irrigation,IR10,COTH,Total included with high cap #23634,Y,0,0,0,0,1,1,1,1,0,0,0,0,4,5054670.422,8993.148867
5641,10441,9951,Groundwater,2012,agricultural irrigation,IR10,COTH,Total is included in Junkers,Y,0,0,0,0,1,1,1,1,0,0,0,0,4,5069733.313,9006.640371
8371,9129,7507,Groundwater,2012,agricultural irrigation,IR10,COTH,Total included with high cap well #23853,Y,0,0,0,0,1,1,1,1,0,0,0,0,4,5077941.941,9013.88695
17879,22212,18344,Groundwater,2016,dairy farming,LV10,TFM, ,Y,0,0,10,0,0,0,0,0,0,0,0,0,10,5008478.867,8952.006567
19292,25726,21732,Groundwater,2017,public transient,PS41,LEO, ,Y,0,0,0,0,0,0,0,0,0,0,0,10,10,5221906.215,9141.016618
10044,10644,6606,Groundwater,2013,single residence private,DS11,LER,Approved exclusively for single family residential uses,Y,1,1,1,1,1,1,1,1,1,1,1,1,12,5103757.363,9037.918375
665,10929,10044,Groundwater,2011,, , ,Estimates. Trying to lease Ski Hill Right now. Basically...,Y,0,0,0,0,10,20,0,0,0,0,0,0,30,5077621.16,9013.745706
22651,4768,2967,Groundwater,2018,irrigation other,IR99,LET,GARDEN WATERING,Y,0,0,0,0,10,5,10,10,0,0,0,0,35,4983488.629,8929.694111
867,9899,2966,Groundwater,2013,, , ,ksp tested pump and existing piping.,Y,0,0,0,0,0,0,40,0,0,0,0,0,40,4983488.629,8929.694111
18139,4768,2967,Groundwater,2016,orchards or nursery,IR22,THM, ,Y,0,0,0,0,0,0,40,0,0,0,0,0,40,4983488.629,8929.694111
14407,11795,3323,Groundwater,2015,irrigation other,IR99,LET, ,Y,0,0,0,0,0,0,0,0,0,50,0,0,50,4992028.5,8937.486741
21209,21379,17541,Groundwater,2017,dairy farming,LV10,TFM, ,Y,0,0,0,0,0,0,0,54,0,0,0,0,54,5008478.867,8952.006567
16877,11795,3323,Groundwater,2016,orchards or nursery,IR22,COTH, ,Y,0,0,0,0,0,0,0,75,0,0,0,0,75,4992028.5,8937.486741
23082,7063,10043,Groundwater,2018,winter recreation,CO21,THM, ,Y,0,0,0,0,0,100,0,0,0,0,0,0,100,5094106.543,9034.082076
19331,11795,3323,Groundwater,2017,orchards or nursery,IR22,COTH, ,Y,0,0,0,0,0,0,0,100,0,0,0,0,100,4992028.5,8937.486741
11514,9899,2966,Groundwater,2014,irrigation other,IR99,THM,ATTEMPTING TO RECONNECT POWER AND PIPING,Y,0,0,0,0,100,0,0,0,0,0,0,0,100,4983488.629,8929.694111
16647,9899,2966,Groundwater,2015,irrigation other,IR99,THM, ,Y,0,0,0,0,0,0,100,0,0,0,0,0,100,4983488.629,8929.694111
23428,11795,3323,Groundwater,2018,orchards or nursery,IR22,COTH, ,Y,0,0,0,0,0,0,0,0,50,75,0,0,125,4992028.5,8937.486741
7861,3948,7963,Groundwater,2010,single residence private,DS11,LER, ,Y,0,0,0,0,100,0,0,0,50,0,0,0,150,10326100.1,13657.02717
23083,10929,10044,Groundwater,2018,restaurants taverns,PS43,OTH, ,Y,0,0,0,0,0,100,0,0,0,50,0,0,150,5077621.16,9013.745706
664,7063,10043,Groundwater,2011,, , ,Estimates,Y,10,10,10,20,20,10,10,20,20,20,10,10,170,5094106.543,9034.082076
8961,9262,7993,Groundwater,2012,single residence private,DS11,LER,no one living at home occasional use.,Y,0,0,0,80,0,0,0,0,0,0,0,120,200,5008158.734,8951.666114
3288,21603,17764,Groundwater,2012,multi residence private,DS12,LEO, ,Y,0,0,0,0,0,200,0,0,0,0,0,0,200,4780827.621,8746.306732
1309,7063,10043,Groundwater,2012,, , , ,Y,0,0,0,0,0,0,220,0,0,0,0,0,220,5094106.543,9034.082076
24970,26421,22415,Groundwater,2018,other commercial,CO99,LEW, ,Y,0,0,0,0,0,0,0,0,0,80,80,80,240,3965952.566,8024.031548
8888,13629,3192,Groundwater,2012,lodging,PS42,THM, ,Y,24,8,6,19,10,5,48,59,43,18,23,24,287,5005082.691,8949.138588
86,12551,7382,Groundwater,2010,, , , ,N,0,0,0,0,0,0,300,0,0,0,0,0,300,5109278.734,9041.818355
7826,12152,6429,Groundwater,2010,, , , ,N,0,0,0,0,0,100,100,100,0,0,0,0,300,5075448.898,9022.156463
4183,3948,7963,Groundwater,2011,single residence private,DS11,LER,seasonal occupancy only,Y,0,0,0,0,100,0,100,0,100,0,0,0,300,10326100.1,13657.02717
20968,12776,832,Groundwater,2017,single residence private,DS11,OTH, ,Y,0,0,0,0,0,100,100,100,0,0,0,0,300,5096314.234,9030.96908
6333,12152,6429,Groundwater,2012,mineral prep,IN62,MHP, ,Y,0,0,0,0,0,100,100,100,0,0,0,0,300,5075448.898,9022.156463
6736,12152,6429,Groundwater,2011,mineral prep,IN62,MHP, ,Y,0,0,0,0,0,100,100,100,0,0,0,0,300,5075448.898,9022.156463
10157,12152,6429,Groundwater,2013,mineral prep,IN62,MHP, ,Y,0,0,0,0,0,100,100,100,0,0,0,0,300,5075448.898,9022.156463
11058,12152,6429,Groundwater,2014,mineral prep,IN62,MHP, ,Y,0,0,0,0,0,100,100,100,0,0,0,0,300,5075448.898,9022.156463
15685,12152,6429,Groundwater,2015,mineral prep,IN62,MHP, ,Y,0,0,0,0,0,100,100,100,0,0,0,0,300,5075448.898,9022.156463
18161,12152,6429,Groundwater,2016,mineral prep,IN62,THM, ,Y,0,0,0,0,0,100,100,100,0,0,0,0,300,5075448.898,9022.156463
20307,12152,6429,Groundwater,2017,mineral prep,IN62,MHP, ,Y,0,0,0,0,0,100,100,100,0,0,0,0,300,5075448.898,9022.156463
23723,12152,6429,Groundwater,2018,mineral prep,IN62,THM, ,Y,0,0,0,0,0,100,100,100,0,0,0,0,300,5075448.898,9022.156463
8261,12551,7382,Groundwater,2011,cranberry irrigation,IR23,TFM, ,Y,0,0,0,0,0,0,300,0,0,0,0,0,300,5109278.734,9041.818355
12622,10929,10044,Groundwater,2014,other less than 70gpm,OT98,OTH, ,Y,0,0,50,0,100,0,100,0,50,0,0,0,300,5077621.16,9013.745706
16600,10929,10044,Groundwater,2015,restaurants taverns,PS43, , ,Y,0,0,50,0,100,0,100,0,50,0,0,0,300,5077621.16,9013.745706
18643,25428,21434,Groundwater,2016,lodging,PS42,LEC,late opening,Y,0,0,0,0,0,0,0,160,160,0,0,0,320,4547131.863,8542.029994
2256,10929,10044,Groundwater,2013,other less than 70gpm,OT98, ,Estimated use per Scott Faust.,Y,20,15,15,15,15,50,50,50,50,20,15,15,330,5077621.16,9013.745706
8348,6138,6914,Groundwater,2012,wastewater treatment,OT12,TFM, ,Y,10,33,31,30,73,0,30,0,0,94,0,34,335,5094057.105,9028.067899
10119,8892,8418,Groundwater,2013,agricultural irrigation,IR10,THM, ,Y,0,0,0,0,0,0,143,175,29,0,0,0,347,10328963.23,13743.70904
24561,12776,832,Groundwater,2018,irrigation other,IR99,OTH,The well is used to water a small personal garden,Y,0,0,0,0,100,100,100,100,0,0,0,0,400,5096314.234,9030.96908
19493,10929,10044,Groundwater,2017,restaurants taverns,PS43,OTH, ,Y,0,0,0,0,0,100,50,100,100,50,0,0,400,5077621.16,9013.745706
2620,6138,6914,Groundwater,2010,wastewater treatment,OT12,TFM, ,Y,41,31,40,28,29,29,31,47,31,29,30,50,416,5094057.105,9028.067899
7784,7063,10043,Groundwater,2013,winter recreation,CO21, ,Estimated use per Scott Faust.,Y,0,0,0,0,50,100,100,100,50,50,0,0,450,5094106.543,9034.082076
2916,10266,9822,Groundwater,2011,single residence private,DS11,THM, ,Y,40,40,40,40,40,40,40,40,40,40,40,40,480,4622835.84,8607.802088
3998,6138,6914,Groundwater,2013,wastewater treatment,OT12,TFM, ,Y,36,36,36,49,36,60,36,30,23,62,36,48,488,5094057.105,9028.067899
6726,20822,16847,Groundwater,2011,single residence private,DS11,LER,We did not occupy this house until 12/24/11.,Y,0,0,0,0,0,0,0,0,0,0,0,500,500,5059812.383,8997.672211
18140,9898,2968,Groundwater,2016,orchards or nursery,IR22,THM, ,Y,0,0,0,0,0,0,500,0,0,0,0,0,500,4983488.629,8929.694111
8384,12420,6950,Groundwater,2012,public non transient,PS31,LER, ,Y,0,0,0,0,0,100,300,100,0,0,0,0,500,5005082.691,8949.138588
16318,10929,10044,Groundwater,2016,restaurants taverns,PS43,OTH, ,Y,0,0,0,0,0,100,100,100,100,100,0,0,500,5077621.16,9013.745706
326,9262,7993,Groundwater,2011,single residence private,DS11,LER, ,Y,0,0,0,266,0,0,129,0,0,0,0,129,524,5008158.734,8951.666114
5615,19754,16041,Groundwater,2011,, , , ,Y,0,0,0,0,0,0,0,0,544,0,0,0,544,5355556.539,9267.171368
9705,10088,7539,Groundwater,2012,OTM public,PS21,LER, ,Y,40,50,50,50,50,40,50,50,50,50,50,50,580,5022091.004,8964.66498
19942,22840,18979,Groundwater,2017,other commercial,CO99,OTH, ,Y,50,50,50,50,50,50,50,50,50,50,50,50,600,10664236.39,14009.79149
21728,4768,2967,Groundwater,2017,forestry irrigation,IR21,THM,Tree irrigation,Y,0,0,0,200,0,0,200,200,0,0,0,0,600,4983488.629,8929.694111
12621,7063,10043,Groundwater,2014,winter recreation,CO21,THM, ,Y,0,0,0,0,500,100,0,0,100,0,0,0,700,5094106.543,9034.082076
16599,7063,10043,Groundwater,2015,winter recreation,CO21, , ,Y,0,0,0,0,500,100,0,0,100,0,0,0,700,5094106.543,9034.082076
2572,21618,17779,Groundwater,2013,single residence private,DS11,LER, ,Y,10,10,20,100,100,100,100,100,50,50,50,10,700,5037297.426,8977.849367
1655,5047,8540,Groundwater,2011,non dairy farming,LV20,LED, ,Y,0,0,0,100,100,100,100,100,100,100,0,0,700,5152925.352,9080.501138
9799,5047,8540,Groundwater,2012,non dairy farming,LV20,LED, ,Y,0,0,0,100,100,100,100,100,100,100,0,0,700,5152925.352,9080.501138
13280,23390,19482,Groundwater,2014,non dairy farming,LV20,LED, ,Y,0,0,0,0,0,0,0,0,0,0,350,350,700,5078778.262,9017.771506
18815,8726,6984,Groundwater,2016,public transient,PS41,LEP, ,Y,0,0,0,0,0,200,300,200,0,0,0,0,700,5066389.707,8999.019912
21311,8726,6984,Groundwater,2017,lodging,PS42,LEC, ,Y,0,0,0,0,0,200,300,200,0,0,0,0,700,5066389.707,8999.019912
