YEAR,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,SUM
1923,0.0,T,T,0.5,1.5,7.7,8.8,11.5,16.3,3.3,0.4,0.0,50.0
1924,0.0,0.0,T,0.0,3.8,7.7,5.1,6.4,4.7,0.9,0.1,0.0,28.7
1925,0.0,0.0,0.0,4.6,4.1,9.3,6.3,15.7,14.4,3.2,T,0.0,57.6
1926,0.0,0.0,T,1.1,12.1,13.4,10.2,4.6,5.9,1.2,T,0.0,48.5
1927,0.0,0.0,T,T,5.7,15.6,4.1,8.0,8.9,13.3,T,0.0,55.6
1928,0.0,0.0,T,T,3.2,4.1,28.9,12.0,6.7,7.5,0.2,0.0,62.6
1929,0.0,0.0,T,1.7,2.1,8.5,13.3,8.0,8.8,1.1,T,0.0,43.5
1930,0.0,0.0,0.0,0.1,1.5,3.8,7.5,6.4,12.3,0.2,T,0.0,31.8
1931,0.0,0.0,0.0,T,0.3,3.9,13.9,8.3,10.3,2.2,T,0.0,38.9
1932,0.0,0.0,0.0,1.7,2.0,7.2,5.4,9.7,11.4,3.4,"T ",0.0,40.8
1933,0.0,0.0,0.0,2.9,6.5,10.1,5.0,5.2,10.0,2.0,"T ",0.0,41.7
1934,0.0,0.0,T,0.1,4.8,12.9,18.0,8.9,4.6,2.8,2.0,T,54.1
1935,0.0,0.0,T,0.2,4.2,8.3,14.9,19.6,9.9,3.9,T,T,61.0
1936,0.0,0.0,T,0.4,2.3,7.0,14.8,12.8,5.1,1.8,T,0.0,44.2
1937,0.0,0.0,0.0,0.2,3.1,6.9,16.0,6.2,4.3,0.6,T,0.0,37.3
1938,0.0,0.0,0.0,1.9,4.3,10.6,11.5,14.9,9.6,1.6,0.0,0.0,54.4
1939,0.0,0.0,T,0.4,0.4,3.6,10.9,12.6,11.8,2.8,1.6,0.0,44.1
1940,0.0,0.0,0.0,T,12.3,10.0,9.0,6.5,8.9,0.3,0.0,0.0,47.0
1941,0.0,0.0,T,T,2.4,8.9,7.0,5.8,9.9,1.6,T,0.0,35.6
1942,0.0,0.0,0.8,1.0,5.6,13.0,21.2,4.2,14.5,1.7,T,0.0,62.0
1943,0.0,0.0,0.0,T,4.4,0.2,2.4,5.9,16.1,2.2,T,0.0,31.2
1944,0.0,0.0,0.0,T,4.0,9.3,9.3,17.7,2.9,4.4,0.3,T,47.9
1945,0.0,0.0,0.1,T,7.4,12.6,9.3,8.4,5.3,0.3,0.3,T,43.7
1946,0.0,0.0,0.0,0.1,2.8,8.9,13.2,3.5,4.2,2.8,1.2,0.0,36.7
1947,0.0,0.0,T,0.0,10.0,8.0,7.5,11.4,7.8,0.1,T,0.0,44.8
1948,0.0,0.0,0.0,T,3.6,6.4,13.7,7.6,3.2,3.7,T,T,38.2
1949,0.0,0.0,T,0.6,5.2,6.8,17.0,9.4,10.5,6.1,0.1,T,55.7
1950,T,T,T,0.1,4.7,22.1,11.9,8.1,22.6,3.9,T,T,73.4
1951,T,T,T,1.2,8.5,14.1,14.6,9.2,14.6,4.6,0.3,T,67.1
1952,T,T,T,0.5,3.7,9.2,7.5,16.2,4.1,1.4,T,T,42.6
1953,T,T,T,T,1.8,6.3,9.4,5.5,8.7,0.1,1.9,T,33.7
1954,T,T,T,0.2,7.4,8.7,6.7,6.6,11.5,0.5,T,T,41.6
1955,T,T,T,0.5,7.2,10.7,5.2,4.0,18.0,3.9,0.2,0.0,49.7
1956,0.0,0.0,0.0,0.0,8.4,6.6,5.3,7.5,5.5,5.2,0.0,0.0,38.5
1957,0.0,0.0,0.0,T,10.4,5.6,6.8,1.3,5.9,2.5,0.0,0.0,32.5
1958,0.0,0.0,0.0,T,1.8,5.1,10.9,13.7,17.8,0.4,T,0.0,49.7
1959,0.0,0.0,0.0,0.9,10.7,12.1,9.4,9.6,4.6,1.3,1.8,0.0,50.4
1960,0.0,0.0,0.0,T,2.6,1.8,3.4,7.7,13.9,3.0,0.3,0.0,32.7
1961,0.0,0.0,0.0,T,4.4,15.4,11.3,22.5,10.9,2.7,0.1,0.0,67.2
1962,0.0,0.0,0.0,0.6,3.7,8.2,8.1,6.5,11.3,1.8,T,0.0,40.2
1963,0.0,0.0,0.0,0.0,0.7,8.4,4.9,3.4,13.7,1.9,0.0,0.0,33.0
1964,0.0,0.0,0.0,0.2,3.8,9.2,9.5,11.6,19.7,5.9,T,0.0,59.9
1965,0.0,0.0,0.1,T,5.4,5.1,12.6,3.2,8.9,2.5,0.3,0.0,38.1
1966,0.0,0.0,0.0,T,3.8,13.2,21.5,15.0,6.0,1.2,0.4,0.0,61.1
1967,0.0,0.0,0.0,0.8,2.5,3.9,8.2,3.5,1.4,1.4,T,0.0,21.7
1968,0.0,0.0,0.0,T,5.1,28.5,20.9,1.7,4.9,0.5,T,0.0,61.6
1969,0.0,0.0,0.0,0.7,2.7,21.0,8.1,4.0,7.1,1.8,T,0.0,45.4
1970,0.0,0.0,0.0,T,4.5,14.3,24.0,13.8,10.5,1.0,T,0.0,68.1
1971,0.0,0.0,0.0,T,8.8,11.9,10.0,9.9,17.0,3.0,T,0.0,60.6
1972,0.0,0.0,0.0,0.4,1.4,18.4,6.4,7.9,0.4,9.2,0.3,0.0,44.4
1973,0.0,0.0,0.0,T,1.3,13.3,5.5,16.2,7.3,3.1,T,0.0,46.7
1974,0.0,0.0,0.0,0.1,2.2,9.2,12.2,14.3,14.1,2.2,T,0.0,54.3
1975,0.0,0.0,0.0,T,6.6,6.4,19.1,9.4,9.8,0.1,0.2,0.0,51.6
1976,0.0,0.0,0.0,0.7,2.5,7.4,10.5,2.9,9.7,4.6,0.0,0.0,38.3
1977,0.0,0.0,0.0,0.2,9.9,18.7,13.4,5.6,4.0,0.7,0.0,0.0,52.5
1978,0.0,0.0,0.0,T,7.5,15.6,23.9,11.0,7.6,2.8,0.7,0.0,69.1
1979,0.0,0.0,0.0,0.7,4.3,2.1,9.7,6.1,8.9,3.7,T,0.0,35.5
1980,0.0,0.0,0.0,0.1,1.3,9.7,2.6,11.5,0.9,0.7,T,0.0,26.8
1981,0.0,0.0,0.0,0.6,2.8,11.5,26.5,3.9,8.4,6.0,0.0,0.0,59.7
1982,0.0,0.0,0.0,1.0,4.5,6.9,9.5,12.1,10.1,4.7,T,0.0,48.8
1983,0.0,0.0,0.0,0.0,7.4,17.1,8.2,3.1,9.1,1.5,0.1,0.0,46.5
1984,0.0,0.0,0.0,0.1,1.2,15.2,14.2,9.1,15.8,3.3,0.0,0.0,58.9
1985,0.0,0.0,0.0,0.0,16.0,22.2,10.1,11.6,5.2,0.2,T,0.0,65.3
1986,0.0,0.0,0.0,0.4,7.1,4.9,9.4,1.2,9.5,1.2,0.0,0.0,33.7
1987,0.0,0.0,0.0,1.4,2.1,16.5,17.1,7.3,4.1,2.0,0.0,0.0,50.5
1988,0.0,0.0,0.0,0.6,8.3,8.4,7.3,9.0,18.5,1.3,0.1,0.0,53.6
1989,0.0,0.0,0.0,0.8,8.4,8.3,8.8,11.5,2.0,1.3,1.4,0.0,42.4
1990,0.0,0.0,0.0,1.5,2.0,17.7,10.2,8.9,4.3,3.1,0.0,0.0,47.7
1991,0.0,0.0,0.0,0.5,19.5,10.0,6.9,8.7,8.0,3.7,0.0,0.0,57.3
1992,0.0,0.0,0.0,2.7,6.7,11.4,13.8,6.9,8.1,8.6,0.0,0.0,58.2
1993,0.0,0.0,0.0,0.4,7.8,4.7,22.1,14.8,5.0,3.3,0.4,0.0,58.7
1994,0.0,0.0,0.0,0.0,4.6,6.6,8.7,5.1,12.2,2.6,0.0,0.0,39.7
1995,0.0,0.0,0.2,0.8,12.7,11.8,26.1,5.5,10.2,6.8,0.3,0.0,74.5
1996,0.0,0.0,0.0,0.0,8.0,22.2,23.0,9.2,15.8,1.3,0.7,0.0,80.2
1997,0.0,0.0,0.0,0.7,3.4,7.4,20.7,2.4,10.8,0.9,0.0,0.0,46.2
1998,0.0,0.0,0.0,0.0,1.7,7.7,26.3,6.4,5.7,0.1,0.0,0.0,47.9
1999,0.0,0.0,0.0,0.0,0.9,5.7,14.3,11.8,3.3,2.8,0.0,0.0,38.8
2000,0.0,0.0,0.0,0.3,7.9,27.1,7.8,11.3,5.2,1.8,0.0,0.0,61.5
2001,0.0,0.0,0.0,1.1,4.4,4.7,7.6,12.3,16.3,6.8,T,0.0,53.2
2002,0.0,0.0,0.0,3.1,1.6,2.6,6.0,8.5,12.3,5.5,0.0,0.0,39.5
2003,0.0,0.0,0.0,0.4,3.9,8.1,12.7,19.3,10.3,0.2,T,0.0,55.0
2004,0.0,0.0,0.0,T,1.6,10.3,18.9,11.0,11.1,0.1,0.1,0.0,53.2
2005,0.0,0.0,0.0,0.0,6.9,14.8,6.3,11.1,10.6,0.1,0.1,0.0,50.0
2006,0.0,0.0,0.0,0.6,3.2,4.8,9.5,14.2,10.7,4.7,0.0,0.0,47.8
2007,0.0,0.0,0.0,0.0,1.7,23.6,13.8,19.7,8.0,7.2,T,0.0,74.0
2008,0.0,0.0,0.0,0.1,2.2,33.2,8.8,10.4,4.3,1.5,0.0,0.0,60.5
2009,0.0,0.0,0.0,1.4,0.4,21.9,6.8,10.3,0.3,0.8,0.9,0.0,42.8
2010,0.0,0.0,0.0,0.0,3.0,20.6,15.4,14.4,10.6,4.6,T,0.0,68.5
2011,0.0,0.0,0.0,T,3.5,5.4,12.3,10.1,4.7,0.5,0.0,0.0,36.4
2012,0.0,0.0,0.1,0.1,2.3,14.9,10.6,17.8,12.1,9.2,3.0,0.0,70.1
2013,0.0,0.0,0.0,0.4,3.4,20.5,18.5,13.5,8.8,9.4,T,0.0,74.6
2014,0.0,0.0,0.0,0.5,14.0,6.9,8.4,6.8,5.1,2.8,0.0,0.0,44.4
2015,0.0,0.0,0.0,0.2,2.8,9.0,7.7,10.1,8.4,3.4,0.0,0.0,41.6
2016,0.0,0.0,0.0,0.0,1.8,19.1,11.5,6.1,5.9,1.3,0.1,0.0,45.8
2017,0.0,0.0,0.0,0.8,3.7,10.2,11.9,12.2,7.4,21.1,0.0,0.0,67.3
2018,0.0,0.0,0.0,0.6,6.5,6.0,15.5,36.2,6.2,5.8,0.5,0.0,77.2
2019,0.0,0.0,0.0,1.9,9.2,17.4,15.2,9.6,2.8,4.3,0.0,0.0,60.5
2020,0.0,0.0,0.0,3.7,2.3,8.5,9.2,11.2,3.5,0.5,0.0,0.0,38.9
2021,0.0,0.0,0.0,0.0,3.8,17.9,9.2,9.3,5.3,4.5,T,0.0,50.1
